TranId;DocCode;DocNo;DocDate;PoNo;ICode;Qty;UCost;Uom;AveCost;TQty;TranDate;InputTime;ModifyDate;Category;Amount
546630;JV;000111;2024-05-31;0;RM0002;1584.000;1890.00000000;PCS;1890.00000000;-1584.00;2024-05-31;11:30:25.0000000;NULL;RAW MATERIALS;2993760.00
11066;RR;000369;2016-07-29;;10006;-25.000;51000.00000000;KG;51000.00000000;-25.00;2016-08-02;16:57:52.9270000;NULL;MATERIAL IN TRANSIT;-1275000.00
300602;JV;001004;2020-01-01;NULL;20001;-3292.000;7255.69000000;SET;7255.69000000;7000.00;2020-02-04;11:34:34.4530000;NULL;CAN;-23885731.48
300603;JV;001004;2020-01-01;NULL;20002;-756.000;1803.14718334;SETS;1803.14718334;5292.00;2020-02-04;11:34:34.4530000;NULL;CAN;-1363179.27
300604;JV;001004;2020-01-01;NULL;20030;-8834.000;2303.16450003;SETS;2303.16450003;144210.00;2020-02-04;11:34:34.4570000;NULL;CAN;-20346155.19
300605;JV;001004;2020-01-01;NULL;20037;-17718.000;2160.52191396;SETS;2160.52191396;40673.00;2020-02-04;11:34:34.4570000;NULL;CAN;-38280127.27
300606;JV;001004;2020-01-01;NULL;20044;-589.000;2130.60800076;SET;2130.60800076;2646.00;2020-02-04;11:34:34.4570000;NULL;CAN;-1254928.11
300607;JV;001004;2020-01-01;NULL;20048;-628.000;1443.81000000;SETS;1443.81000000;0.00;2020-02-04;11:34:34.4600000;NULL;CAN;-906712.68
300608;JV;001004;2020-01-01;NULL;20051;-2295.000;2162.66075393;SETS;2162.66075393;5292.00;2020-02-04;11:34:34.4600000;NULL;CAN;-4963306.43
300609;JV;001004;2020-01-01;NULL;20070;-1273.000;1805.84625000;SET;1805.84625000;79380.00;2020-02-04;11:34:34.5070000;NULL;CAN;-2298842.28
300610;JV;001004;2020-01-01;NULL;20110;-33883.000;1838.14200000;SETS;1838.14200000;13230.00;2020-02-04;11:34:34.5070000;NULL;CAN;-62281765.39
300611;JV;001004;2020-01-01;NULL;20200;-37250.000;1863.74338244;SETS;1863.74338244;139230.00;2020-02-04;11:34:34.5070000;NULL;CAN;-69424441.00
300612;JV;001004;2020-01-01;NULL;21058;-39687.000;2317.14700000;SET;2317.14700000;216315.00;2020-02-04;11:34:34.5070000;NULL;CAN;-91960612.99
300613;JV;001004;2020-01-01;NULL;21300;-48735.000;2305.41369092;SET;2305.41369092;353925.00;2020-02-04;11:34:34.5100000;NULL;CAN;-112354336.23
302293;JV;001005;2020-01-01;NULL;10004;-37.600;2772.20445783;KGS;2772.20445783;3650.00;2020-02-07;17:11:25.9200000;NULL;SPICES AND INGREDIENTS;-104234.89
302294;JV;001005;2020-01-01;NULL;10006;-7.320;53256.98000000;KG;53256.98000000;150.00;2020-02-07;17:11:25.9270000;NULL;SPICES AND INGREDIENTS;-389841.09
302295;JV;001005;2020-01-01;NULL;10007;-47.000;14649.44000000;KGS;14649.44000000;17640.00;2020-02-07;17:11:25.9270000;NULL;SPICES AND INGREDIENTS;-688523.68
302296;JV;001005;2020-01-01;NULL;10009;-17.290;59500.86103093;KGS;59500.86103093;2120.00;2020-02-07;17:11:25.9330000;NULL;SPICES AND INGREDIENTS;-1028769.89
302297;JV;001005;2020-01-01;NULL;10013;-1.500;39000.00000000;KGS;39000.00000000;0.00;2020-02-07;17:11:25.9370000;NULL;SPICES AND INGREDIENTS;-58500.00
302298;JV;001005;2020-01-01;NULL;10023;-650.000;8020.09666667;KGS;8020.09666667;0.00;2020-02-07;17:11:25.9400000;NULL;SPICES AND INGREDIENTS;-5213062.83
302299;JV;001005;2020-01-01;NULL;10120;-136.000;27001.37789807;KGS;27001.37789807;17660.00;2020-02-07;17:11:25.9470000;NULL;SPICES AND INGREDIENTS;-3672187.39
300653;JV;001013;2020-01-31;56578;20001;9677.000;7080.20727273;SET;7080.20727273;30677.00;2020-02-04;11:34:37.4800000;NULL;CAN;68515165.78
300654;JV;001013;2020-01-31;56578;20002;756.000;1803.14718334;SETS;1803.14718334;6048.00;2020-02-04;11:34:37.4830000;NULL;CAN;1363179.27
300655;JV;001013;2020-01-31;56578;20030;13680.000;2303.16450003;SETS;2303.16450003;138915.00;2020-02-04;11:34:37.4830000;NULL;CAN;31507290.36
300656;JV;001013;2020-01-31;56578;20037;17718.000;2160.52191396;SETS;2160.52191396;58391.00;2020-02-04;11:34:37.4870000;NULL;CAN;38280127.27
300657;JV;001013;2020-01-31;56578;20044;589.000;2130.60800076;SET;2130.60800076;3235.00;2020-02-04;11:34:37.5300000;NULL;CAN;1254928.11
300658;JV;001013;2020-01-31;56578;20048;628.000;1443.81000000;SETS;1443.81000000;628.00;2020-02-04;11:34:37.5300000;NULL;CAN;906712.68
300659;JV;001013;2020-01-31;56578;20051;2295.000;2162.66075393;SETS;2162.66075393;7587.00;2020-02-04;11:34:37.5300000;NULL;CAN;4963306.43
300660;JV;001013;2020-01-31;56578;20059;1863.000;2303.16449883;SETS;2303.16449883;1863.00;2020-02-04;11:34:37.5300000;NULL;CAN;4290795.46
300661;JV;001013;2020-01-31;56578;20070;28576.000;1766.06733333;SET;1766.06733333;81496.00;2020-02-04;11:34:37.5330000;NULL;CAN;50467140.12
300662;JV;001013;2020-01-31;56578;20110;5272.000;1838.14200000;SETS;1838.14200000;18502.00;2020-02-04;11:34:37.5330000;NULL;CAN;9690684.62
300663;JV;001013;2020-01-31;56578;20200;37250.000;1863.74338244;SETS;1863.74338244;176480.00;2020-02-04;11:34:37.5370000;NULL;CAN;69424441.00
300664;JV;001013;2020-01-31;56578;21058;36326.000;2317.14700000;SET;2317.14700000;59096.00;2020-02-04;11:34:37.5370000;NULL;CAN;84172681.92
300665;JV;001013;2020-01-31;56578;21300;13467.000;2305.41369092;SET;2305.41369092;53067.00;2020-02-04;11:34:37.5400000;NULL;CAN;31047006.18
302372;JV;001014;2020-01-31;58675;10002;334.000;13598.18762156;KGS;13598.18762156;25014.00;2020-02-07;17:11:29.7770000;NULL;SPICES AND INGREDIENTS;4541794.67
302373;JV;001014;2020-01-31;58675;10004;91.180;2772.20445783;KGS;2772.20445783;1741.18;2020-02-07;17:11:29.7770000;NULL;SPICES AND INGREDIENTS;252769.60
302374;JV;001014;2020-01-31;58675;10006;27.190;53256.98000000;KG;53256.98000000;152.19;2020-02-07;17:11:29.7770000;NULL;SPICES AND INGREDIENTS;1448057.29
302375;JV;001014;2020-01-31;58675;10009;112.580;59500.86103093;KGS;59500.86103093;1652.58;2020-02-07;17:11:29.7800000;NULL;SPICES AND INGREDIENTS;6698606.93
302376;JV;001014;2020-01-31;58675;10013;1.500;39000.00000000;KGS;39000.00000000;1.50;2020-02-07;17:11:29.7800000;NULL;SPICES AND INGREDIENTS;58500.00
302377;JV;001014;2020-01-31;58675;10023;1000.000;10100.00000000;KGS;10100.00000000;1000.00;2020-02-07;17:11:29.7800000;NULL;SPICES AND INGREDIENTS;10100000.00
302378;JV;001014;2020-01-31;58675;10120;379.000;26894.42944337;KGS;26894.42944337;11969.00;2020-02-07;17:11:29.7800000;NULL;SPICES AND INGREDIENTS;10192988.76
11067;RR;0010368;2016-07-23;54526;10023;-2000.000;8272.73000000;KGS;9090.56000000;0.00;2016-08-02;16:55:22.6630000;NULL;MATERIAL IN TRANSIT;-16545460.00
303747;JV;001056;2020-01-31;58730;54012;-1.000;11900.00000000;BAGS;11900.00000000;42.00;2020-02-11;17:00:22.4500000;NULL;FACTORY SUPPLIES;-11900.00
302764;JV;001057;2020-01-31;58709;92564;-3.000;16250.00000000;PCS;16250.00000000;12.00;2020-02-10;15:15:48.3930000;NULL;OFFICE SUPPLIES;-48750.00
306268;JV;002004;2020-02-01;NULL;20001;-9677.000;7080.20727273;SET;7080.20727273;21000.00;2020-03-05;09:48:53.1600000;NULL;CAN;-68515165.78
306269;JV;002004;2020-02-01;NULL;20002;-756.000;1803.14718334;SETS;1803.14718334;5292.00;2020-03-05;09:48:53.1630000;NULL;CAN;-1363179.27
