Id;AcctingCode;AcctingCodeDescription
1;"001  ";"BANK MANDIRI IDR 150-00-3292186-6"
2;"098  ";"BRI - BITUNG 31-45-0095-2                         "
3;"099  ";"BII - US$ PMA 03-003676-01                        "
4;"100  ";"DOLLAR CLEARING                                   "
5;"101  ";"BII - US$ 03-00331-01                             "
6;"240  ";"PETTY CASH FUND                                   "
7;"730  ";"REVOLVING FUND                                    "
8;"104  ";"BANK PELITA 14560                                 "
9;"107  ";"BII - RPH - 2-003-022083                          "
10;"117  ";"ACCOUNTS RECEIVABLE - EXPORTS                     "
11;"120  ";"ACCOUNTS RECEIVABLE - TUNA VIAND COOPERATIVE"
12;"125  ";"ACCOUNTS RECEIVABLE - OTHERS                      "
13;"121  ";"CLAIMS RECEIVABLE                                 "
14;"123  ";"ALLOWANCE FOR DOUBTFUL ACCOUNTS - OTHERS          "
15;"124  ";"EMPLOYEE CAR LOAN"
16;"127  ";"ACCOUNTS RECEIVABLE - TUNA VIAND"
17;"363  ";"INTEREST RECEIVABLE                               "
18;"128  ";"SHORT-TERM INVESTMENT                             "
19;"129  ";"FINISHED GOODS                                    "
20;"135  ";"FRESH TUNA                                        "
21;"136  ";"FRUITS AND VEGETABLES                             "
22;"137  ";"OTHER RAW MATERIALS                               "
23;"138  ";"SPICES AND INGREDIENTS                            "
24;"140  ";"CANS                                              "
25;"142  ";"CARTONS                                           "
26;"143  ";"LABELS                                            "
27;"145  ";"FACTORY SUPPLIES                                  "
28;"146  ";"SPAREPARTS AND ACCESSORIES                        "
29;"257  ";"FISHMEAL                                          "
30;"752  ";"CHEMICALS                                         "
31;"916  ";"RAW FISH FOR RENDERING                            "
32;"416  ";"FISH SCRAP                                        "
33;"743  ";"DIESEL                                            "
34;"148  ";"MATERIALS IN TRANSIT                              "
35;"316  ";"ALLOWANCE FOR INVENTORY OBSOLESCENCE              "
36;"154  ";"PREPAID GENERAL EXPENSE                           "
37;"152  ";"UNEXPIRED INSURANCE                               "
38;"800  ";"PREPAID LABORATORY SUPPLIES                       "
39;"155  ";"PREPAID INTEREST EXPENSE                          "
40;"324  ";"IMPORTATION CONTROL ACCOUNT                       "
41;"153  ";"OFFICE SUPPLIES INVENTORY                         "
42;"156  ";"PREPAID TAX - PPH 22                              "
43;"551  ";"PREPAID VALUE ADDED TAX                           "
