id;prsnumber;canvassername;created_by;created_date;updated_by;updated_date;is_active
1;203211;NULL;SYS;2014-07-19 09:45:28.207;NULL;NULL;Y
2;203219;NULL;SYS;2014-07-19 09:45:28.207;NULL;NULL;Y
3;203222;NULL;SYS;2014-07-19 09:45:28.207;NULL;NULL;Y
4;203225;NULL;SYS;2014-07-19 09:45:28.207;NULL;NULL;Y
5;203228;NULL;SYS;2014-07-19 09:45:28.207;NULL;NULL;Y
6;203228;NULL;SYS;2014-07-19 09:45:28.207;NULL;NULL;Y
7;203231;NULL;SYS;2014-07-19 09:45:28.207;NULL;NULL;Y
8;203235;NULL;SYS;2014-07-19 09:45:28.207;NULL;NULL;Y
9;203242;NULL;SYS;2014-07-19 09:45:28.207;NULL;NULL;Y
10;203248;NULL;SYS;2014-07-19 09:45:28.207;NULL;NULL;Y
11;203251;NULL;SYS;2014-07-19 09:45:28.207;NULL;NULL;Y
12;203258;NULL;SYS;2014-07-19 09:45:28.207;NULL;NULL;Y
13;203260;NULL;SYS;2014-07-19 09:45:28.207;NULL;NULL;Y
14;203264;NULL;SYS;2014-07-19 09:45:28.207;NULL;NULL;Y
15;203281;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
16;203283;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
17;203283;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
18;203297;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
19;203308;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
20;203319;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
21;203320;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
22;203321;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
23;203324;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
24;203328;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
25;203331;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
26;203333;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
27;203335;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
28;203336;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
29;203342;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
30;203344;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
31;100047;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
32;203345;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
33;203350;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
34;203351;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
35;203362;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
36;203366;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
37;203371;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
38;203377;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
39;203379;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
40;203381;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
41;203382;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
42;203382;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
43;203383;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
44;203385;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
45;203387;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
46;203389;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
47;203390;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
48;203396;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
49;203401;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
50;203403;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
51;203403;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
52;203404;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
53;203405;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
54;203407;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
55;203412;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
56;203418;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
57;203424;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
58;203424;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
59;203425;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
60;203425;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
61;203426;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
62;203432;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
63;203435;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
64;203437;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
65;203448;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
66;203454;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
67;203456;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
68;203457;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
69;203458;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
70;203461;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
71;203468;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
72;203469;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
73;203475;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
74;203477;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
75;203478;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
76;203479;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
77;203480;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
78;203483;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
79;203484;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
80;100048;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
81;203491;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
82;203492;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
83;203494;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
84;203497;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
85;203500;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
86;203501;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
87;203502;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
88;100049;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
89;203504;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
90;203505;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
91;203507;NULL;SYS;2014-07-19 09:45:28.220;NULL;NULL;Y
92;203509;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
93;203520;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
94;203523;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
95;203525;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
96;203528;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
97;203529;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
98;203530;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
99;203531;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
100;203532;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
101;203539;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
102;203540;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
103;203543;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
104;203544;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
105;203548;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
106;203549;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
107;203550;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
108;203551;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
109;203553;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
110;203555;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
111;100050;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
112;203557;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
113;203559;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
114;203561;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
115;203563;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
116;203564;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
117;203565;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
118;203567;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
119;203569;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
120;203570;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
121;203574;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
122;203575;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
123;203576;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
124;203578;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
125;203579;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
126;203579;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
127;203580;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
128;203581;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
129;203582;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
130;203582;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
131;203585;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
132;203586;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
133;203589;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
134;203590;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
135;203592;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
136;203593;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
137;203595;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
138;203597;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
139;203598;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
140;203598;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
141;203599;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
142;203600;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
143;203602;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
144;203603;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
145;203604;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
146;203605;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
147;203605;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
148;203606;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
149;203606;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
150;203607;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
151;203609;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
152;203610;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
153;203611;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
154;203612;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
155;203614;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
156;203615;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
157;203626;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
158;100052;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
159;203630;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
160;203634;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
161;203636;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
162;203645;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
163;203647;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
164;203648;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
165;203649;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
166;203651;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
167;203652;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
168;203654;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
169;203656;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
170;203661;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
171;203662;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
172;203664;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
173;203668;NULL;SYS;2014-07-19 09:45:28.237;NULL;NULL;Y
174;203669;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
175;203669;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
176;203671;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
177;203676;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
178;203680;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
179;203683;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
180;100054;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
181;203687;NULL;SYS;2014-07-19 09:45:28.250;NULL;NULL;Y
