id;prsnumber;productcode;supplier_code;unit_price;top;top_desc;tod;wp;is_selected;created_by;created_date;updated_by;updated_date;is_active
1;203211;64160;92;17500.000000;CREDIT;"1 Month after the goods received by PT Sinar";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
2;203211;64161;92;22500.000000;CREDIT;"1 Month after the goods received by PT Sinar";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
3;203211;61853;92;37500.000000;CREDIT;"1 Month after the goods received by PT Sinar";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
4;203211;64163;92;37500.000000;CREDIT;"1 Month after the goods received by PT Sinar";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
5;203211;60362;92;15000.000000;CREDIT;"1 Month after the goods received by PT Sinar";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
6;203219;62015;92;710000.000000;CREDIT;"1 Month after the goods received by PT Sinar";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
7;203222;00574;120;1229000.000000;CASH;"CASH / CAAD";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
8;203225;01705;49;1041666.670000;CREDIT;"2 Weeks after the goods received by PT SInar";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
9;203228;60831;16;277.000000;CREDIT;"SEGERA SETELAH SELESAI DIKERJAKAN";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
10;203228;60830;16;81.000000;CREDIT;"SEGERA SETELAH SELESAI DIKERJAKAN";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
11;203228;60827;16;42.000000;CREDIT;"SEGERA SETELAH SELESAI DIKERJAKAN";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
12;203228;61785;16;103.000000;CREDIT;"SEGERA SETELAH SELESAI DIKERJAKAN";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
13;203228;62305;16;56.000000;CREDIT;"SEGERA SETELAH SELESAI DIKERJAKAN";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
14;203228;62311;16;111.000000;CREDIT;"SEGERA SETELAH SELESAI DIKERJAKAN";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
15;203228;63471;16;3.000000;CREDIT;"SEGERA SETELAH SELESAI DIKERJAKAN";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
16;203231;64181;92;22500.000000;CREDIT;"1 Month after the goods received by PT Sinar";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
17;203231;64182;92;37500.000000;CREDIT;"1 Month after the goods received by PT Sinar";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
18;203231;64183;92;22500.000000;CREDIT;"1 Month after the goods received by PT Sinar";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
19;203231;64184;92;22500.000000;CREDIT;"1 Month after the goods received by PT Sinar";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
20;203235;51222;233;335000.000000;CREDIT;"1 Month after the goods received by PT Sinar";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
21;203235;50015;233;125000.000000;CREDIT;"1 Month after the goods received by PT Sinar";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
22;203235;60544;233;12500.000000;CREDIT;"1 Month after the goods received by PT Sinar";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
23;203235;61008;233;20000.000000;CREDIT;"1 Month after the goods received by PT Sinar";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
24;203242;64123;92;135000.000000;CREDIT;"1 Month after the goods received by PT Sinar";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
25;203242;60691;92;390000.000000;CREDIT;"1 Month after the goods received by PT Sinar";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
26;203248;69768;224;850000.000000;CREDIT;"1 Month after the goods received by PT Sinar";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
27;203251;62847;38;8000000.000000;CASH;"CASH SETELAH TERIMA BARANG";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
28;203253;62419;16;174.000000;CREDIT;"SEGERA SETELAH SELESAI DIKERJAKAN";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
29;203255;63094;92;27500.000000;CREDIT;"1 Month after the goods received by PT Sinar";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
30;203258;61064;183;85.250000;CASH;"CASH IN ADVANCE";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
31;203258;61070;183;85.250000;CASH;"CASH IN ADVANCE";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
32;203260;91140;477;2195000.000000;CASH;"PO CASH / CAAD";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
33;203264;91141;266;3674000.000000;CASH;CASH;NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
34;203267;61609;92;6500.000000;CREDIT;"1 Month after the goods received by PT Sinar";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
35;203281;90886;451;25000.000000;CREDIT;"2 weeks after the goods received by PT.SPFI";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
36;203283;63154;92;130000.000000;CREDIT;"1 Month after the goods received by PT Sinar";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
37;203283;62534;233;25000.000000;CREDIT;"1 Month after the goods received by PT Sinar";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
38;203283;50007;233;335000.000000;CREDIT;"1 Month after the goods received by PT Sinar";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
39;203283;50015;233;125000.000000;CREDIT;"1 Month after the goods received by PT Sinar";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
40;203283;60545;233;12500.000000;CREDIT;"1 Month after the goods received by PT Sinar";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
41;203297;50078;493;940000.000000;CREDIT;"3 WORKING DAYS AFTER THE GOODS RECD BY PT. SPFI";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
42;203308;63455;257;750000.000000;CASH;" CASH SETELAH TERIMA BARANG";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
43;203319;60942;92;85000.000000;CREDIT;"1 Month after the goods received by PT Sinar";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
44;203320;63740;533;279306.950000;CREDIT;"DP 50% ; 50% UPON COMPLETION THE DELIVERY";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
45;203320;63741;533;22583.850000;CREDIT;"DP 50% ; 50% UPON COMPLETION THE DELIVERY";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
46;203320;63742;533;6525.750000;CREDIT;"DP 50% ; 50% UPON COMPLETION THE DELIVERY";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
47;203320;63743;533;22880.150000;CREDIT;"DP 50% ; 50% UPON COMPLETION THE DELIVERY";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
48;203320;63744;533;7796.250000;CREDIT;"DP 50% ; 50% UPON COMPLETION THE DELIVERY";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
49;203320;63745;533;3771.250000;CREDIT;"DP 50% ; 50% UPON COMPLETION THE DELIVERY";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
50;203320;63759;533;24321.300000;CREDIT;"DP 50% ; 50% UPON COMPLETION THE DELIVERY";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
51;203320;63746;533;8431.500000;CREDIT;"DP 50% ; 50% UPON COMPLETION THE DELIVERY";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
52;203321;63747;533;6652.450000;CREDIT;"DP 50% ; 50% UPON COMPLETION THE DELIVERY";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
53;203321;63748;533;61648.950000;CREDIT;"DP 50% ; 50% UPON COMPLETION THE DELIVERY";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.813";NULL;NULL;Y
54;203321;63750;533;6186.750000;CREDIT;"DP 50% ; 50% UPON COMPLETION THE DELIVERY";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.830";NULL;NULL;Y
55;203321;63751;533;4322.450000;CREDIT;"DP 50% ; 50% UPON COMPLETION THE DELIVERY";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.830";NULL;NULL;Y
56;203321;63752;533;16990.900000;CREDIT;"DP 50% ; 50% UPON COMPLETION THE DELIVERY";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.830";NULL;NULL;Y
57;203321;63753;533;21942.150000;CREDIT;"DP 50% ; 50% UPON COMPLETION THE DELIVERY";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.830";NULL;NULL;Y
58;203321;63754;533;25973.500000;CREDIT;"DP 50% ; 50% UPON COMPLETION THE DELIVERY";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.830";NULL;NULL;Y
59;203321;63755;533;80504.150000;CREDIT;"DP 50% ; 50% UPON COMPLETION THE DELIVERY";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.830";NULL;NULL;Y
60;203322;63756;533;35713.150000;CREDIT;"DP 50% ; 50% UPON COMPLETION THE DELIVERY";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.830";NULL;NULL;Y
61;203322;63757;533;51395.850000;CREDIT;"DP 50% ; 50% UPON COMPLETION THE DELIVERY";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.830";NULL;NULL;Y
62;203322;63758;533;7543.200000;CREDIT;"DP 50% ; 50% UPON COMPLETION THE DELIVERY";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.830";NULL;NULL;Y
63;203324;60439;40;203453.000000;CREDIT;"2 Weeks after the goods received by PT SInar";NULL;NULL;Y;SYS;"2014-07-19 09:50:34.830";NULL;NULL;Y
