id;department_code;department_name;is_active;is_delete;created_by;created_date;updated_by;updated_date
34;7000;Sales;Y;N;SYS;2014-07-16 10:24:44.260;NULL;NULL
35;7010;Raw Material Used;Y;N;SYS;2014-07-16 10:24:44.260;NULL;NULL
36;7029;Variable Ice Plant;Y;N;SYS;2014-07-16 10:24:44.260;NULL;NULL
37;7030;Fixed Ice Plant;Y;N;SYS;2014-07-16 10:24:44.260;NULL;NULL
38;7031;Variable Fish Procurement;Y;N;SYS;2014-07-16 10:24:44.260;NULL;NULL
39;7032;Fixed Fish Procurement;Y;N;SYS;2014-07-16 10:24:44.260;NULL;NULL
40;7033;Variable Production;Y;N;SYS;2014-07-16 10:24:44.260;NULL;NULL
41;7034;Fixed Production;Y;N;SYS;2014-07-16 10:24:44.260;NULL;NULL
42;7035;Variable Distribution;Y;N;SYS;2014-07-16 10:24:44.260;NULL;NULL
43;7036;Marketing/Export;Y;N;SYS;2014-07-16 10:24:44.260;USER0002;2014-09-04 15:06:36.743
44;7037;Variable Rendering;Y;N;SYS;2014-07-16 10:24:44.263;NULL;NULL
45;7038;Fixed Rendering;Y;N;SYS;2014-07-16 10:24:44.263;NULL;NULL
46;7039;Variable Labeling;Y;N;SYS;2014-07-16 10:24:44.263;NULL;NULL
47;7040;Fixed Labeling;Y;N;SYS;2014-07-16 10:24:44.263;NULL;NULL
48;7042;Inventory Management;Y;N;SYS;2014-07-16 10:24:44.263;USER0035;2014-07-30 08:50:35.747
49;7044;Quality Assurance;Y;N;SYS;2014-07-16 10:24:44.263;NULL;NULL
50;7046;Engineering;Y;N;SYS;2014-07-16 10:24:44.263;NULL;NULL
51;7048;Human Resources Development;Y;N;SYS;2014-07-16 10:24:44.263;NULL;NULL
52;7050;Purchasing;Y;N;SYS;2014-07-16 10:24:44.263;NULL;NULL
53;7052;Finance;Y;N;SYS;2014-07-16 10:24:44.263;NULL;NULL
54;7054;Office Of The Managing Director;Y;N;SYS;2014-07-16 10:24:44.267;NULL;NULL
55;7060;Jakarta Office;Y;N;SYS;2014-07-16 10:24:44.267;NULL;NULL
56;7061;Variable Cold Storage;Y;N;SYS;2014-07-16 10:24:44.267;NULL;NULL
57;7062;Fixed Cold Storage;Y;N;SYS;2014-07-16 10:24:44.267;NULL;NULL
58;7063;Variable Viand Tuna;Y;N;SYS;2014-07-16 10:24:44.267;NULL;NULL
59;7064;Fixed Viand Tuna;Y;N;SYS;2014-07-16 10:24:44.267;NULL;NULL
60;7056;It;Y;N;SYS;2014-07-16 10:24:44.267;NULL;NULL
61;8000;Others;Y;N;SYS;2014-07-16 10:24:44.267;NULL;NULL
90;7033E;Sanitation;Y;N;USER0001;2014-08-26 09:37:07.590;USER0001;2014-08-26 09:37:07.603
91;7033C;Skinning and Loining;Y;N;USER0002;2014-10-07 09:53:26.733;USER0002;2014-10-07 09:53:26.753
92;7033D;Packing;Y;N;USER0002;2014-10-07 09:53:39.690;USER0002;2014-10-07 09:53:39.707
93;7033F;Case Up;Y;N;USER0002;2014-10-07 09:54:00.423;USER0002;2014-10-07 09:54:00.437
94;7033G;Retord;Y;N;USER0002;2014-10-07 09:54:11.357;USER0002;2014-10-07 09:54:11.377
95;001;BeaCukai;Y;N;USER0002;2021-03-31 14:17:57.457;USER0002;2021-03-31 14:17:57.467
