dr_code;dr_date;dr_from;dr_fromloc;dr_toloc;dr_remarks;dr_type;supplier_code;or_code;dm_code;delivered_by;delivered_date;approved_by;approved_date;received_by;received_date;created_by;created_date;updated_by;updated_date;is_active;Is_BC
111;2015-04-27 00:00:00.000;IM - PT. SPFI;BITUNG;BITUNG;TEST;NF;681;;;NULL;NULL;NULL;NULL;NULL;NULL;Stainly Langkay;2015-04-27 08:46:26.430;NULL;NULL;Y;NULL
12345;2015-03-28 00:00:00.000;IM - PT. SPFI;Bitung;Manado;Testt;NF;undefined;123456;1234566;NULL;NULL;NULL;NULL;NULL;NULL;Stainly Langkay;2015-03-28 08:09:19.367;NULL;NULL;Y;NULL
12561;2016-02-06 00:00:00.000;IM - PT. SPFI;;;;NF;264;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2016-02-22 15:08:01.147;Wiske;2016-02-22 15:22:19.413;Y;NULL
12562;2016-02-09 00:00:00.000;IM - PT. SPFI;;;;NF;264;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2016-02-22 15:11:16.887;Wiske;2016-02-22 15:22:13.580;Y;NULL
12564;2016-02-15 00:00:00.000;IM - PT. SPFI;;;;NF;264;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2016-02-22 15:12:27.803;Wiske;2016-02-22 15:22:07.790;Y;NULL
12565;2016-02-16 00:00:00.000;IM - PT. SPFI;;;;NF;264;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2016-02-22 15:13:21.537;Wiske;2016-02-22 15:22:01.933;Y;NULL
13180;2015-11-01 00:00:00.000;IM - PT. SPFI;;;;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Ana;2015-11-12 13:38:56.860;Rommy Tendean;2016-04-05 10:54:09.813;Y;NULL
13181;2015-11-01 00:00:00.000;IM - PT. SPFI;;;;NF;123;;;NULL;NULL;NULL;NULL;NULL;NULL;Ana;2015-11-12 13:39:57.853;Rommy Tendean;2016-04-05 10:50:26.903;Y;NULL
13182;2015-11-30 00:00:00.000;IM - PT. SPFI;;;;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Ana;2015-12-02 13:50:39.760;Ana;2015-12-30 14:05:12.540;N;NULL
13183;2015-11-30 00:00:00.000;IM - PT. SPFI;;;;NF;123;;;NULL;NULL;NULL;NULL;NULL;NULL;Ana;2015-12-02 14:15:52.090;Ana;2015-12-30 14:05:05.660;N;NULL
13808;2016-02-29 00:00:00.000;IM - PT. SPFI;;;;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Ana;2016-03-03 14:43:14.320;Ana;2016-04-05 10:38:09.190;Y;NULL
13812;2016-03-31 00:00:00.000;IM - PT. SPFI;;;;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Ana;2016-03-31 20:18:17.357;Rommy Tendean;2016-04-05 10:56:34.500;Y;NULL
13813;2016-03-31 00:00:00.000;IM - PT. SPFI;;;;NF;123;;;NULL;NULL;NULL;NULL;NULL;NULL;Ana;2016-03-31 20:20:14.690;NULL;NULL;Y;NULL
13814;2016-04-30 00:00:00.000;IM - PT. SPFI;;;;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Ana;2016-04-30 13:07:13.027;NULL;NULL;Y;NULL
13815;2016-04-30 00:00:00.000;IM - PT. SPFI;;;;NF;123;;;NULL;NULL;NULL;NULL;NULL;NULL;Ana;2016-04-30 13:07:49.703;NULL;NULL;Y;NULL
13816;2016-05-31 00:00:00.000;IM - PT. SPFI;;;;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Ana;2016-05-31 12:06:01.237;Ana;2016-06-07 08:08:58.480;Y;NULL
13817;2016-05-31 00:00:00.000;IM - PT. SPFI;;;;NF;123;;;NULL;NULL;NULL;NULL;NULL;NULL;Ana;2016-05-31 12:07:36.183;NULL;NULL;Y;NULL
13818;2016-06-29 00:00:00.000;IM - PT. SPFI;;;;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Ana;2016-06-30 16:03:20.083;NULL;NULL;Y;NULL
13819;2016-06-29 00:00:00.000;IM - PT. SPFI;;;;NF;123;;;NULL;NULL;NULL;NULL;NULL;NULL;Ana;2016-06-30 16:03:58.047;NULL;NULL;Y;NULL
13820;2016-07-30 00:00:00.000;IM - PT. SPFI;;;;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Ana;2016-07-30 13:05:48.823;Ana;2016-08-08 09:42:30.350;Y;NULL
15218;2016-12-28 00:00:00.000;IM - PT. SPFI;PT SPFI;;Pemusnahan VG 910;NF;301;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2017-01-10 09:56:41.477;NULL;NULL;Y;NULL
15401;2016-09-30 00:00:00.000;IM - PT. SPFI;;;;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2016-09-30 10:44:12.030;Wiske;2016-10-10 15:07:54.417;Y;NULL
15402;2016-10-31 00:00:00.000;IM - PT. SPFI;;;;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2016-11-02 14:04:38.193;NULL;NULL;Y;NULL
15403;2017-01-31 00:00:00.000;IM - PT. SPFI;;;;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2017-01-31 15:00:22.360;NULL;NULL;Y;NULL
15405;2016-11-15 00:00:00.000;IM - PT. SPFI;;;rijeck barcode dll;NF;21;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2016-11-17 14:41:03.670;Wiske;2017-01-13 11:49:37.430;Y;NULL
15406;2016-11-30 00:00:00.000;IM - PT. SPFI;;;Rijeck cetak;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2016-12-02 12:04:49.693;Wiske;2017-01-13 11:51:42.170;N;NULL
15407;2016-12-28 00:00:00.000;IM - PT. SPFI;;;;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2016-12-30 10:27:35.397;Wiske;2016-12-30 10:29:03.457;Y;NULL
15410;2017-02-28 00:00:00.000;IM - PT. SPFI;;;;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2017-03-02 11:21:57.770;NULL;NULL;Y;NULL
15411;2017-04-27 00:00:00.000;IM - PT. SPFI;;;Carton Rijek Cetak;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2017-04-27 13:55:45.260;NULL;NULL;Y;NULL
15412;2017-05-31 00:00:00.000;IM - PT. SPFI;;;Carton Rijek Cetak;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2017-06-02 17:05:36.820;NULL;NULL;Y;NULL
15413;2017-06-30 00:00:00.000;IM - PT. SPFI;;;Rijeck Cetak;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2017-06-30 15:09:48.150;NULL;NULL;Y;NULL
15415;2017-07-31 00:00:00.000;IM - PT. SPFI;;;Rijeck Cetak;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2017-07-31 17:06:13.370;NULL;NULL;Y;NULL
15416;2017-08-29 00:00:00.000;IM - PT. SPFI;;;Rijeck Cetak;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2017-08-30 15:24:48.437;NULL;NULL;Y;NULL
15419;2017-10-31 00:00:00.000;IM - PT. SPFI;;;rijeck cetak;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2017-10-31 19:43:43.217;NULL;NULL;Y;NULL
15420;2017-11-30 00:00:00.000;IM - PT. SPFI;;;;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2017-12-04 13:42:21.770;NULL;NULL;Y;NULL
15423;2018-01-31 00:00:00.000;IM - PT. SPFI;;;Rijeck Cetak;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2018-01-31 17:38:24.007;NULL;NULL;Y;NULL
15425;2018-03-09 00:00:00.000;IM - PT. SPFI;;;;NF;770;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2018-03-09 13:47:35.073;NULL;NULL;Y;NULL
15431;2018-04-30 00:00:00.000;IM - PT. SPFI;;;carton rijeck cetak;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2018-04-30 17:31:20.783;NULL;NULL;Y;NULL
15432;2018-05-31 00:00:00.000;IM - PT. SPFI;;;carton rijeck cetak;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2018-06-02 14:57:39.030;NULL;NULL;Y;NULL
15433;2018-05-31 00:00:00.000;IM - PT. SPFI;;;carton rijeck cetak;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2018-06-02 15:00:46.750;NULL;NULL;Y;NULL
15434;2018-06-30 00:00:00.000;IM - PT. SPFI;;;carton rijeck cetak;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2018-07-03 13:53:01.633;NULL;NULL;Y;NULL
15435;2018-07-31 00:00:00.000;IM - PT. SPFI;;;carton rijeck cetak;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2018-08-02 15:07:09.130;NULL;NULL;Y;NULL
15436;2018-08-31 00:00:00.000;IM - PT. SPFI;;;carton rijeck cetak;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2018-08-31 10:17:45.107;NULL;NULL;Y;NULL
15437;2018-09-29 00:00:00.000;IM - PT. SPFI;;;carton rijeck cetak;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2018-09-29 13:52:50.307;NULL;NULL;Y;NULL
15438;2019-03-30 00:00:00.000;IM - PT. SPFI;;;Rijeck CETAK;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2019-03-30 12:07:12.600;NULL;NULL;Y;NULL
15439;2019-05-31 00:00:00.000;IM - PT. SPFI;;;" Carton Rijeck CETAK";NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2019-05-31 16:28:21.900;NULL;NULL;Y;NULL
15440;2019-07-31 00:00:00.000;IM - PT. SPFI;;;Carton Rijeck CETAK;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2019-07-31 16:14:51.317;NULL;NULL;Y;NULL
15443;2019-10-31 00:00:00.000;IM - PT. SPFI;;;RIJECK CETAK;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2019-10-31 17:01:11.967;NULL;NULL;Y;NULL
17303;2021-03-10 00:00:00.000;IM - PT. SPFI;;;;NF;820;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2021-12-28 16:35:11.840;NULL;NULL;Y;NULL
17704;2020-01-31 00:00:00.000;IM - PT. SPFI;;;;NF;776;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2020-01-13 10:58:33.387;NULL;NULL;Y;NULL
17801;2020-01-31 00:00:00.000;IM - PT. SPFI;;;Carton RIJECK CETAK;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2020-01-31 10:17:05.513;NULL;NULL;Y;NULL
17802;2020-02-28 00:00:00.000;IM - PT. SPFI;;;RIJECK CETAK;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2020-02-29 12:38:44.030;NULL;NULL;Y;NULL
17803;2020-03-31 00:00:00.000;IM - PT. SPFI;;;RIJECK CETAK;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2020-03-31 16:44:29.307;NULL;NULL;Y;NULL
17804;2020-04-30 00:00:00.000;IM - PT. SPFI;;;RIJECK CETAK;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2020-04-30 16:45:45.330;NULL;NULL;Y;NULL
17805;2020-08-31 00:00:00.000;IM - PT. SPFI;;;RIJECK CETAK;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2020-08-31 12:54:18.947;NULL;NULL;Y;NULL
17807;2021-04-21 00:00:00.000;IM - PT. SPFI;;;;NF;637;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2021-04-30 09:42:45.070;Wiske;2021-04-30 09:46:33.543;Y;NULL
17808;2021-04-30 00:00:00.000;IM - PT. SPFI;;;RIJEK CETAK;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2021-05-03 15:54:43.657;NULL;NULL;Y;NULL
17809;2022-07-19 00:00:00.000;IM - PT. SPFI;;;;NF;637;;61407;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2022-07-19 16:28:54.383;NULL;NULL;Y;NULL
17901;2020-07-06 00:00:00.000;IM - PT. SPFI;;;;NF;637;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2020-07-30 14:38:30.963;NULL;NULL;Y;NULL
17902;2021-03-15 00:00:00.000;IM - PT. SPFI;;;REJECT( Banyak Logong);NF;851;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2021-03-25 16:27:17.557;NULL;NULL;Y;NULL
17904;2021-06-10 00:00:00.000;IM - PT. SPFI;;;;NF;637;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2021-06-15 12:11:00.740;NULL;NULL;Y;NULL
17905;2021-06-28 00:00:00.000;IM - PT. SPFI;;;;NF;820;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2021-12-28 16:07:46.183;NULL;NULL;Y;NULL
17908;2022-03-07 00:00:00.000;IM - PT. SPFI;;;;NF;637;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2022-03-09 16:47:56.170;NULL;NULL;Y;NULL
17910;2022-10-29 00:00:00.000;IM - PT. SPFI;;;;NF;637;;61836;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2022-10-04 11:49:36.283;NULL;NULL;Y;NULL
17911;2022-12-22 00:00:00.000;IM - PT. SPFI;;;;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2022-12-28 13:39:30.187;NULL;NULL;Y;NULL
17912;2023-02-28 00:00:00.000;IM - PT. SPFI;;;;NF;339;;"62270 ";NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2023-03-01 16:42:26.723;NULL;NULL;Y;NULL
17913;2023-03-31 00:00:00.000;IM - PT. SPFI;;;;NF;339;;po 062576;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2023-04-12 15:08:38.437;NULL;NULL;Y;NULL
17914;2023-05-03 00:00:00.000;IM - PT. SPFI;;;;NF;339;;62641;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2023-05-03 11:31:43.920;NULL;NULL;Y;NULL
17915;2023-05-31 00:00:00.000;IM - PT. SPFI;;;;NF;339;;62740;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2023-05-31 18:09:15.910;NULL;NULL;Y;NULL
17916;2023-06-19 00:00:00.000;IM - PT. SPFI;;;;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2023-06-19 17:12:26.570;NULL;NULL;Y;NULL
17919;2023-10-31 00:00:00.000;IM - PT. SPFI;;;;NF;339;;PO 063206;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2023-10-31 17:23:37.170;NULL;NULL;Y;NULL
17920;2023-10-31 00:00:00.000;IM - PT. SPFI;;;;NF;339;;PO 062576;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2023-10-31 17:24:33.057;NULL;NULL;Y;NULL
17921;2023-11-16 00:00:00.000;IM - PT. SPFI;;;;NF;339;;po 063355;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2023-11-21 16:25:40.000;NULL;NULL;Y;NULL
17923;2023-12-29 00:00:00.000;IM - PT. SPFI;;;;NF;339;;PO 63247;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2023-12-29 15:13:42.763;NULL;NULL;Y;NULL
17925;2024-02-29 00:00:00.000;IM - PT. SPFI;;;;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2024-02-29 19:30:29.640;NULL;NULL;Y;NULL
17926;2024-02-29 00:00:00.000;IM - PT. SPFI;;;rijeck cetak;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2024-02-29 19:31:42.413;NULL;NULL;Y;NULL
17928;2024-06-30 00:00:00.000;IM - PT. SPFI;;;;NF;339;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2024-07-02 17:30:20.400;NULL;NULL;Y;NULL
17929;2024-09-30 00:00:00.000;IM - PT. SPFI;;;;NF;1024;;;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2024-09-30 18:24:39.240;NULL;NULL;Y;NULL
18331;2021-04-22 00:00:00.000;IM - PT. SPFI;;;;NF;637;;59126;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2021-04-30 09:37:59.523;NULL;NULL;Y;NULL
18657;2022-01-18 00:00:00.000;IM - PT. SPFI;;;;NF;637;;60571;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2022-01-20 11:08:46.950;NULL;NULL;Y;NULL
19305;2023-08-21 00:00:00.000;IM - PT. SPFI;;;;NF;637;;61904;NULL;NULL;NULL;NULL;NULL;NULL;Wiske;2023-08-21 15:12:10.603;NULL;NULL;Y;NULL
19327;2025-07-31 00:00:00.000;IM - PT. SPFI;BITUNG;BITUNG;;NF;022;;;NULL;NULL;NULL;NULL;NULL;NULL;Jefny Jacobus;2025-07-31 15:51:43.150;NULL;NULL;Y;NULL
19328;2025-10-30 00:00:00.000;IM - PT. SPFI;BITUNG;BITUNG;;NF;022;;;NULL;NULL;NULL;NULL;NULL;NULL;Jefny Jacobus;2025-10-30 16:28:05.037;NULL;NULL;Y;NULL
20262;2026-03-12 00:00:00.000;IM - PT. SPFI;BITUNG;BITUNG;;NF;022;;;NULL;NULL;NULL;NULL;NULL;NULL;Jefny Jacobus;2026-03-12 11:02:59.690;NULL;NULL;Y;NULL
123456;2015-03-28 00:00:00.000;IM - PT. SPFI;Bitung;Manado;"testt ";NF;659;0123;01234;NULL;NULL;NULL;NULL;NULL;NULL;Stainly Langkay;2015-03-28 07:42:45.120;NULL;NULL;Y;NULL
