id;prsnumber;productcode;productname;qty;uom_name;prs_soh;created_by;created_date;updated_by;updated_date;is_active
1;203211;64160;GI ELBOW Ø 1 THREADED TYPE 90 DERAJAT;2.00000;PCS;0.00;NULL;NULL;NULL;NULL;Y
2;203211;64161;GI ELBOW Ø 1 1/4 THREADED TYPE 90 DERAJAT;2.00000;PCS;0.00;NULL;NULL;NULL;NULL;Y
3;203211;61853;S/S  WATER MUR ( UNION ) 1;2.00000;PC;0.00;NULL;NULL;NULL;NULL;Y
4;203211;64163;GI UNION  Ø 1 1/4  ( WATER MUR );2.00000;PCS;0.00;NULL;NULL;NULL;NULL;Y
5;203211;60362;GI NIPPLE 1;2.00000;PCS;0.00;NULL;NULL;NULL;NULL;Y
6;203212;01655;SL/C FOR  RECONDITION HOUSING BEARING CAM;2.00000;PCS;0.00;NULL;NULL;NULL;NULL;Y
7;203213;61802;BOLT & NUT WASHER (BAJA) 10 MM X 2;8.00000;PCS;0.00;NULL;NULL;NULL;NULL;Y
8;203217;60539;SEAMING ROLL 2ND R2-S9;8.00000;PCS;0.00;NULL;NULL;NULL;NULL;Y
9;203217;61806;SEAMING ROLL 1ST R1-06;8.00000;PCS;0.00;NULL;NULL;NULL;NULL;Y
10;203217;63325;SEAMING ROLL BEARING 2ND OP A1561;10.00000;PCS;0.00;NULL;NULL;NULL;NULL;Y
11;203217;63326;SEAMING ROLL BEARING 1ST OP A1560;10.00000;PCS;0.00;NULL;NULL;NULL;NULL;Y
12;203217;61877;SEAMING ROLL PIN 1ST 5963;10.00000;PCS;0.00;NULL;NULL;NULL;NULL;Y
13;203217;61878;SEAMING ROLL PIN 2ND 5964;10.00000;PCS;0.00;NULL;NULL;NULL;NULL;Y
14;203217;62145;OIL FOOD GRADE MAIN PRO 303 @ 30L;2.00000;PAILS;0.00;NULL;NULL;NULL;NULL;Y
15;501193;30073;"CARTONS 307 HOODED LORADO SSB ";8575.00000;SETS;0.00;NULL;NULL;NULL;NULL;Y
16;600098;63097;1 SET OBENG (BUNGA & PLAT);1.00000;SET;0.00;NULL;NULL;NULL;NULL;Y
17;700349;00544;SL/C FOR REPAIR LAPTOP;1.00000;UNIT;0.00;NULL;NULL;NULL;NULL;Y
18;203219;62015;WELDING ROD CIN 1;1.00000;KGS;0.00;NULL;NULL;NULL;NULL;Y
19;203222;00574;SLC FOR SERVICE BERKALA TOYOTA INNOVA  DB 2116 CA;1.00000;Lot;0.00;NULL;NULL;NULL;NULL;Y
20;203223;62455;SOCKET/COUPLING GI 1/2;20.00000;PCS;0.00;NULL;NULL;NULL;NULL;Y
21;203225;01705;SL/C FOR PEMBUATAN SEKAT DI RUANGAN TPS;1.00000;LOT;0.00;NULL;NULL;NULL;NULL;Y
22;203226;63694;IBACLREVA PENGUARD CLEAR SEATER COMPONEN A @4 LTR/TINS;2.00000;TINS;0.00;NULL;NULL;NULL;NULL;Y
23;203226;63695;OJXCPBBVA PENGUARD COMPONEN B @4 LTR/TINS;2.00000;TINS;0.00;NULL;NULL;NULL;NULL;Y
24;203227;63386;PRESSURE REGULATING VALVE Ø 2 PRESSURE RANGE 0 - 25 BAR;1.00000;PC;0.00;NULL;NULL;NULL;NULL;Y
25;203227;63389;FLANGE MS 2 Ø;2.00000;PCS;0.00;NULL;NULL;NULL;NULL;Y
26;203228;60831;OIL SEPARATOR 1625703600;2.00000;PCS;0.00;NULL;NULL;NULL;NULL;Y
27;203228;60830;OIL FILTER 1622783700;2.00000;PCS;0.00;NULL;NULL;NULL;NULL;Y
28;203228;60827;AIR FILTER ELEMENT 1613872000;4.00000;PCS;0.00;NULL;NULL;NULL;NULL;Y
29;203228;61785;BLOW OFF VALVE P/N  16223694 80;2.00000;PCS;0.00;NULL;NULL;NULL;NULL;Y
30;203228;62305;HOSE ASSEMBLY   P/N  0574991010;1.00000;PCS;0.00;NULL;NULL;NULL;NULL;Y
31;203228;62311;HOSE ASSEMBLY   P/N  05749911 01;1.00000;PC;0.00;NULL;NULL;NULL;NULL;Y
32;203228;63470;NIPPLE P/N 0531000102;2.00000;PCS;0.00;NULL;NULL;NULL;NULL;Y
33;203228;63471;SEAL WASHER P/N 0661100040;2.00000;PCS;0.00;NULL;NULL;NULL;NULL;Y
34;800252;00288;FREIGHT;1.00000;Lot;0.00;NULL;NULL;NULL;NULL;Y
35;800252;00288;FREIGHT;1.00000;Lot;0.00;NULL;NULL;NULL;NULL;Y
36;203231;64181;GI TEE 1 Ø THREADED;2.00000;PCS;0.00;NULL;NULL;NULL;NULL;Y
37;203231;64182;GI UNION ( WATER MUR) Ø 1;2.00000;PCS;0.00;NULL;NULL;NULL;NULL;Y
38;203231;64183;GI COUPLING Ø 1 THREADED;20.00000;PCS;0.00;NULL;NULL;NULL;NULL;Y
39;203231;64184;"GI ELBOW Ø 1 ";3.00000;PCS;0.00;NULL;NULL;NULL;NULL;Y
40;203232;60654;DOOR CLOSER MERK YALE LITE;1.00000;SET;0.00;NULL;NULL;NULL;NULL;Y
41;203233;60103;OXYGEN REFILLING;1.00000;TBG;0.00;NULL;NULL;NULL;NULL;Y
42;203233;63157;LPG REFILL @ 125 KG;1.00000;TBG;0.00;NULL;NULL;NULL;NULL;Y
43;203233;60733;CUTTING WHEEL 14 (RESIBON BRAND);2.00000;PCS;0.00;NULL;NULL;NULL;NULL;Y
44;203233;61271;WELDING ROD SS 26MM;2.00000;KGS;0.00;NULL;NULL;NULL;NULL;Y
45;203235;51222;NIPPON PAINT MARINE WHITE @ 5 KGS;5.00000;TIN;0.00;NULL;NULL;NULL;NULL;Y
46;203235;50015;THINNER CAT & DOG @5L;2.00000;TIN;0.00;NULL;NULL;NULL;NULL;Y
47;203235;60544;PAINT BRUSH 4;3.00000;PCS;0.00;NULL;NULL;NULL;NULL;Y
48;203235;61008;TALI RAFIAH @ 1 KGS;1.00000;ROLL;0.00;NULL;NULL;NULL;NULL;Y
49;203236;50459;PRIMER PAINT @5KG;6.00000;TIN;0.00;NULL;NULL;NULL;NULL;Y
50;203236;50015;THINNER CAT & DOG @5L;6.00000;TIN;0.00;NULL;NULL;NULL;NULL;Y
51;203237;64156;ANGLE BAR  316 6 CM X 6 CM X 6 MTR;4.00000;LE;0.00;NULL;NULL;NULL;NULL;Y
52;203237;60234;ANGLE BAR 5CM X 5CM X 5 MM  X 6 MTRS;6.00000;LGTS;0.00;NULL;NULL;NULL;NULL;Y
