id;date;product_code;begin;qty_in1;qty_in2;qty_in3;qty_out1;qty_out2;qty_out3;end;acc_qty_in1;acc_average_price_in1;acc_qty_total;acc_average_price_total
6393;2014-09-05;90077;9.00;.00;.00;.00;1.00;.00;.00;8.00;NULL;NULL;NULL;NULL
6394;2014-09-05;90088;56.00;.00;.00;.00;6.00;.00;.00;50.00;NULL;NULL;NULL;NULL
6395;2014-09-05;99979;22.00;.00;.00;.00;1.00;.00;.00;21.00;NULL;NULL;NULL;NULL
6396;2014-09-05;99978;.00;.00;.00;.00;2.00;.00;.00;-2.00;NULL;NULL;NULL;NULL
6397;2014-09-05;90311;.00;.00;.00;.00;2.00;.00;.00;-2.00;NULL;NULL;NULL;NULL
6398;2014-09-05;93214;.00;.00;.00;.00;1.00;.00;.00;-1.00;NULL;NULL;NULL;NULL
6399;2014-09-05;92108;.00;.00;.00;.00;2.00;.00;.00;-2.00;NULL;NULL;NULL;NULL
6400;2014-09-05;51230;720.00;.00;.00;.00;6.00;.00;.00;714.00;NULL;NULL;NULL;NULL
6401;2014-09-05;50100;2610.00;.00;.00;.00;6.00;.00;.00;2604.00;NULL;NULL;NULL;NULL
6402;2014-09-05;50095;80.00;.00;.00;.00;15.00;.00;.00;65.00;NULL;NULL;NULL;NULL
6403;2014-09-05;50011;60.00;.00;.00;.00;5.00;.00;.00;55.00;NULL;NULL;NULL;NULL
6404;2014-09-05;51458;165.00;.00;.00;.00;3.00;.00;.00;162.00;NULL;NULL;NULL;NULL
6405;2014-09-06;50534;400.00;.00;.00;.00;50.00;.00;.00;350.00;NULL;NULL;NULL;NULL
6406;2014-09-06;51458;162.00;.00;.00;.00;4.00;.00;.00;158.00;NULL;NULL;NULL;NULL
6407;2014-09-06;52401;-12.00;.00;.00;.00;2.00;.00;.00;-14.00;NULL;NULL;NULL;NULL
6408;2014-09-06;60522;.00;.00;.00;.00;2.00;.00;.00;-2.00;NULL;NULL;NULL;NULL
6409;2014-09-06;70125;80.00;.00;.00;.00;20.00;.00;.00;60.00;NULL;NULL;NULL;NULL
6410;2014-09-06;60055;4.00;.00;.00;.00;1.00;.00;.00;3.00;NULL;NULL;NULL;NULL
6411;2014-09-06;50291;11.00;.00;.00;.00;4.00;.00;.00;7.00;NULL;NULL;NULL;NULL
6412;2014-09-06;69586;.00;2.00;.00;.00;.00;.00;.00;2.00;NULL;NULL;NULL;NULL
6413;2014-09-06;65612;.00;1.00;.00;.00;.00;.00;.00;1.00;NULL;NULL;NULL;NULL
6414;2014-09-08;61021;.00;.00;.00;.00;.00;.00;.00;.00;NULL;NULL;NULL;NULL
6415;2014-09-08;60545;.00;.00;.00;.00;1.00;.00;.00;-1.00;NULL;NULL;NULL;NULL
6416;2014-09-08;69949;22.00;.00;.00;.00;2.00;.00;.00;20.00;NULL;NULL;NULL;NULL
6417;2014-09-08;61337;24.00;.00;.00;.00;5.00;.00;.00;19.00;NULL;NULL;NULL;NULL
6418;2014-09-08;60103;.00;.00;.00;.00;1.00;.00;.00;-1.00;NULL;NULL;NULL;NULL
6419;2014-09-08;60788;.00;.00;.00;.00;.00;.00;.00;.00;NULL;NULL;NULL;NULL
6420;2014-09-08;63161;.00;.00;.00;.00;2.00;.00;.00;-2.00;NULL;NULL;NULL;NULL
6421;2014-09-08;60628;30.00;.00;.00;.00;9.00;.00;.00;21.00;NULL;NULL;NULL;NULL
6422;2014-09-08;61055;.00;.00;.00;.00;.00;.00;.00;.00;NULL;NULL;NULL;NULL
6423;2014-09-08;51458;158.00;.00;.00;.00;13.00;.00;.00;145.00;NULL;NULL;NULL;NULL
6424;2014-09-08;50515;4.00;.00;.00;.00;1.00;.00;.00;3.00;NULL;NULL;NULL;NULL
6425;2014-09-08;52134;.00;.00;.00;.00;3.00;.00;.00;-3.00;NULL;NULL;NULL;NULL
6426;2014-09-08;52353;.00;.00;.00;.00;3.00;.00;.00;-3.00;NULL;NULL;NULL;NULL
6427;2014-09-08;65330;.00;.00;.00;.00;1.00;.00;.00;-1.00;NULL;NULL;NULL;NULL
6428;2014-09-08;50135;20.00;.00;.00;.00;1.00;.00;.00;19.00;NULL;NULL;NULL;NULL
6429;2014-09-08;52401;-14.00;.00;.00;.00;5.00;.00;.00;-19.00;NULL;NULL;NULL;NULL
6430;2014-09-08;52415;33.00;.00;.00;.00;1.00;.00;.00;32.00;NULL;NULL;NULL;NULL
6431;2014-09-08;51355;77.00;.00;.00;.00;3.00;.00;.00;74.00;NULL;NULL;NULL;NULL
6432;2014-09-08;51504;32.00;.00;.00;.00;1.00;.00;.00;31.00;NULL;NULL;NULL;NULL
6433;2014-09-08;51585;5.00;.00;.00;.00;1.00;.00;.00;4.00;NULL;NULL;NULL;NULL
6434;2014-09-08;99978;-2.00;.00;.00;.00;4.00;.00;.00;-6.00;NULL;NULL;NULL;NULL
6435;2014-09-08;93654;18.00;.00;.00;.00;3.00;.00;.00;15.00;NULL;NULL;NULL;NULL
6436;2014-09-08;50943;16.00;.00;.00;.00;1.00;.00;.00;15.00;NULL;NULL;NULL;NULL
6437;2014-09-08;90517;1.00;.00;.00;.00;4.00;.00;.00;-3.00;NULL;NULL;NULL;NULL
6438;2014-09-08;90510;50.00;.00;.00;.00;10.00;.00;.00;40.00;NULL;NULL;NULL;NULL
6439;2014-09-08;91234;.00;.00;.00;.00;1.00;.00;.00;-1.00;NULL;NULL;NULL;NULL
6440;2014-09-08;65221;4.00;.00;.00;.00;1.00;.00;.00;3.00;NULL;NULL;NULL;NULL
6441;2014-09-08;68111;1.00;.00;.00;.00;7.00;.00;.00;-6.00;NULL;NULL;NULL;NULL
6442;2014-09-08;68561;7.00;.00;.00;.00;7.00;.00;.00;.00;NULL;NULL;NULL;NULL
6443;2014-09-08;64299;.00;.00;.00;.00;7.00;.00;.00;-7.00;NULL;NULL;NULL;NULL
6444;2014-09-08;60776;.00;.00;.00;.00;2.00;.00;.00;-2.00;NULL;NULL;NULL;NULL
6445;2014-09-08;61098;.00;.00;.00;.00;1.00;.00;.00;-1.00;NULL;NULL;NULL;NULL
6446;2014-09-08;93257;6.00;.00;.00;.00;.00;.00;.00;6.00;NULL;NULL;NULL;NULL
6447;2014-09-08;60213;58.00;.00;.00;.00;2.00;.00;.00;56.00;NULL;NULL;NULL;NULL
6448;2014-09-08;50046;.00;.00;.00;.00;2.00;.00;.00;-2.00;NULL;NULL;NULL;NULL
6449;2014-09-08;52306;15.00;.00;.00;.00;2.00;.00;.00;13.00;NULL;NULL;NULL;NULL
6450;2014-09-08;90840;149.00;.00;.00;.00;5.00;.00;.00;144.00;NULL;NULL;NULL;NULL
6451;2014-09-08;60089;46.00;.00;.00;.00;5.00;.00;.00;41.00;NULL;NULL;NULL;NULL
6452;2014-09-08;3977;.00;1.00;.00;.00;.00;.00;.00;1.00;NULL;NULL;NULL;NULL
6453;2014-09-08;64965;.00;13.00;.00;.00;.00;.00;.00;13.00;NULL;NULL;NULL;NULL
6454;2014-09-08;64793;.00;24.00;.00;.00;.00;.00;.00;24.00;NULL;NULL;NULL;NULL
6455;2014-09-08;61837;.00;148.00;.00;.00;.00;.00;.00;148.00;NULL;NULL;NULL;NULL
6456;2014-09-08;62932;.00;136.00;.00;.00;.00;.00;.00;136.00;NULL;NULL;NULL;NULL
6457;2014-09-08;64992;.00;20.00;.00;.00;.00;.00;.00;20.00;NULL;NULL;NULL;NULL
6458;2014-09-08;53123;18.00;.00;.00;.00;4.00;.00;.00;14.00;NULL;NULL;NULL;NULL
6459;2014-09-08;99979;21.00;.00;.00;.00;2.00;.00;.00;19.00;NULL;NULL;NULL;NULL
6460;2014-09-08;91008;106.00;.00;.00;.00;10.00;.00;.00;96.00;NULL;NULL;NULL;NULL
6461;2014-09-08;90025;8.00;.00;.00;.00;3.00;.00;.00;5.00;NULL;NULL;NULL;NULL
6462;2014-09-08;60522;-2.00;100.00;.00;.00;.00;.00;.00;98.00;NULL;NULL;NULL;NULL
6463;2014-09-08;65720;.00;1.00;.00;.00;.00;.00;.00;1.00;NULL;NULL;NULL;NULL
6464;2014-09-08;61732;1.00;6.00;.00;.00;.00;.00;.00;7.00;NULL;NULL;NULL;NULL
6465;2014-09-08;63932;8.00;6.00;.00;.00;.00;.00;.00;14.00;NULL;NULL;NULL;NULL
6466;2014-09-08;61688;4.00;6.00;.00;.00;.00;.00;.00;10.00;NULL;NULL;NULL;NULL
6467;2014-09-08;02146;.00;1.00;.00;.00;.00;.00;.00;1.00;NULL;NULL;NULL;NULL
6468;2014-09-08;99969;.00;.00;.00;.00;1.00;.00;.00;-1.00;NULL;NULL;NULL;NULL
6469;2014-09-08;90596;.00;.00;.00;.00;2.00;.00;.00;-2.00;NULL;NULL;NULL;NULL
6470;2014-09-08;90597;13.00;.00;.00;.00;1.00;.00;.00;12.00;NULL;NULL;NULL;NULL
6471;2014-09-09;60139;55.00;.00;.00;.00;1.00;.00;.00;54.00;NULL;NULL;NULL;NULL
6472;2014-09-09;61443;2.00;3.00;.00;.00;.00;.00;.00;5.00;NULL;NULL;NULL;NULL
6473;2014-09-09;65366;.00;3.00;.00;.00;.00;.00;.00;3.00;NULL;NULL;NULL;NULL
6474;2014-09-09;65628;.00;1.00;.00;.00;.00;.00;.00;1.00;NULL;NULL;NULL;NULL
6475;2014-09-09;65743;.00;3.00;.00;.00;.00;.00;.00;3.00;NULL;NULL;NULL;NULL
6476;2014-09-09;65735;.00;9.00;.00;.00;.00;.00;.00;9.00;NULL;NULL;NULL;NULL
6477;2014-09-09;60733;.00;.00;.00;.00;2.00;.00;.00;-2.00;NULL;NULL;NULL;NULL
6478;2014-09-09;02132;.00;1.00;.00;.00;.00;.00;.00;1.00;NULL;NULL;NULL;NULL
6479;2014-09-09;91956;.00;379.00;.00;.00;.00;.00;.00;379.00;NULL;NULL;NULL;NULL
6480;2014-09-09;60064;266.00;.00;.00;.00;203.00;.00;.00;63.00;NULL;NULL;NULL;NULL
6481;2014-09-09;62454;.00;.00;.00;.00;2.00;.00;.00;-2.00;NULL;NULL;NULL;NULL
6482;2014-09-09;61105;8.00;.00;.00;.00;4.00;.00;.00;4.00;NULL;NULL;NULL;NULL
6483;2014-09-09;50217;150.00;.00;.00;.00;1.00;.00;.00;149.00;NULL;NULL;NULL;NULL
6484;2014-09-09;52401;-19.00;.00;.00;.00;12.00;.00;.00;-31.00;NULL;NULL;NULL;NULL
6485;2014-09-09;51458;145.00;.00;.00;.00;20.00;.00;.00;125.00;NULL;NULL;NULL;NULL
6486;2014-09-09;52353;-3.00;.00;.00;.00;1.00;.00;.00;-4.00;NULL;NULL;NULL;NULL
6487;2014-09-09;90812;17.00;.00;.00;.00;3.00;.00;.00;14.00;NULL;NULL;NULL;NULL
6488;2014-09-09;90895;.00;.00;.00;.00;2.00;.00;.00;-2.00;NULL;NULL;NULL;NULL
6489;2014-09-09;90081;3.00;.00;.00;.00;1.00;.00;.00;2.00;NULL;NULL;NULL;NULL
6490;2014-09-09;92007;.00;.00;.00;.00;2.00;.00;.00;-2.00;NULL;NULL;NULL;NULL
6491;2014-09-09;91140;.00;1.00;.00;.00;.00;.00;.00;1.00;NULL;NULL;NULL;NULL
6492;2014-09-09;90427;.00;1.00;.00;.00;.00;.00;.00;1.00;NULL;NULL;NULL;NULL
6493;2014-09-09;99842;.00;4.00;.00;.00;4.00;.00;.00;.00;NULL;NULL;NULL;NULL
6494;2014-09-09;90009;.00;2.00;.00;.00;.00;.00;.00;2.00;NULL;NULL;NULL;NULL
6495;2014-09-09;92540;.00;1.00;.00;.00;.00;.00;.00;1.00;NULL;NULL;NULL;NULL
6496;2014-09-09;99848;.00;2.00;.00;.00;.00;.00;.00;2.00;NULL;NULL;NULL;NULL
6497;2014-09-09;51597;.00;1.00;.00;.00;.00;.00;.00;1.00;NULL;NULL;NULL;NULL
6498;2014-09-09;63358;.00;.00;.00;.00;.00;.00;.00;.00;NULL;NULL;NULL;NULL
6499;2014-09-09;51562;23241.00;.00;.00;.00;1000.00;.00;.00;22241.00;NULL;NULL;NULL;NULL
6500;2014-09-09;70126;80.00;.00;.00;.00;20.00;.00;.00;60.00;NULL;NULL;NULL;NULL
6501;2014-09-09;51585;4.00;.00;.00;.00;1.00;.00;.00;3.00;NULL;NULL;NULL;NULL
6502;2014-09-09;52364;71.00;.00;.00;.00;6.00;.00;.00;65.00;NULL;NULL;NULL;NULL
6503;2014-09-09;51313;.00;.00;.00;.00;6.00;.00;.00;-6.00;NULL;NULL;NULL;NULL
6504;2014-09-09;52346;809.00;.00;.00;.00;6.00;.00;.00;803.00;NULL;NULL;NULL;NULL
6505;2014-09-09;90117;482.00;.00;.00;.00;5.00;.00;.00;477.00;NULL;NULL;NULL;NULL
6506;2014-09-09;89529;.00;1.00;.00;.00;.00;.00;.00;1.00;NULL;NULL;NULL;NULL
6507;2014-09-09;51457;199.00;.00;.00;.00;29.00;.00;.00;170.00;NULL;NULL;NULL;NULL
6508;2014-09-09;50046;-2.00;.00;.00;.00;1.00;.00;.00;-3.00;NULL;NULL;NULL;NULL
6509;2014-09-09;90840;144.00;.00;.00;.00;1.00;.00;.00;143.00;NULL;NULL;NULL;NULL
6510;2014-09-09;50620;1125.00;.00;.00;.00;1.00;.00;.00;1124.00;NULL;NULL;NULL;NULL
6511;2014-09-10;61412;9.00;4.00;.00;.00;.00;.00;.00;13.00;NULL;NULL;NULL;NULL
6512;2014-09-10;62068;.00;4.00;.00;.00;.00;.00;.00;4.00;NULL;NULL;NULL;NULL
6513;2014-09-10;69830;.00;1.00;.00;.00;.00;.00;.00;1.00;NULL;NULL;NULL;NULL
6514;2014-09-10;60266;.00;10.00;.00;.00;.00;.00;.00;.00;NULL;NULL;NULL;NULL
6515;2014-09-10;63130;25.00;3.00;.00;.00;.00;.00;.00;28.00;NULL;NULL;NULL;NULL
6516;2014-09-10;52613;178.00;.00;.00;.00;178.00;.00;.00;.00;NULL;NULL;NULL;NULL
