id;sws_code;product_code;qty;soh;uom;created_by;created_date;updated_by;updated_date;is_active
1;005434;90077;1.00;9.00;BTL;Rommy Tendean;2014-09-05 09:37:40.383;NULL;NULL;Y
2;008101;50260;1.00;49.00;PACK;Dewi;2014-09-05 10:13:41.287;NULL;NULL;Y
3;008102;50260;1.00;49.00;PACK;Dewi;2014-09-05 10:18:01.563;NULL;NULL;Y
4;005701;90088;6.00;56.00;PADS;Jelita;2014-09-05 10:28:16.560;NULL;NULL;Y
5;003793;90311;2.00;0.00;REAMS;Anita Walean;2014-09-05 10:30:55.330;NULL;NULL;Y
6;003793;90650;2.00;0.00;REAMS;Anita Walean;2014-09-05 10:30:55.333;NULL;NULL;Y
7;003142;99979;1.00;22.00;PCS;Jelita;2014-09-05 10:33:00.880;NULL;NULL;Y
8;003142;99978;2.00;0.00;PCS;Jelita;2014-09-05 10:33:00.883;NULL;NULL;Y
9;003794;93214;2.00;0.00;PACK;Anita Walean;2014-09-05 10:34:37.410;NULL;NULL;Y
10;003794;92108;2.00;0.00;DOS;Anita Walean;2014-09-05 10:34:37.413;NULL;NULL;Y
11;005702;50015;1.00;4.00;TIN;Swingly Boham;2014-09-05 11:28:03.303;NULL;NULL;Y
12;005344;90650;5.00;0.00;REAMS;Jelita;2014-09-05 11:34:33.857;NULL;NULL;Y
13;005344;90088;1.00;50.00;PADS;Jelita;2014-09-05 11:34:33.860;NULL;NULL;Y
14;005344;92134;12.00;0.00;DOS;Jelita;2014-09-05 11:34:33.860;NULL;NULL;Y
15;005435;51230;6.00;720.00;BOX;Jelita;2014-09-05 11:36:59.270;NULL;NULL;Y
16;005435;50100;6.00;2.00;KGS;Jelita;2014-09-05 11:36:59.273;NULL;NULL;Y
17;005435;50095;15.00;80.00;KGS;Jelita;2014-09-05 11:36:59.277;NULL;NULL;Y
18;008103;20037;126721.00;14.00;PCS;Dewi;2014-09-05 13:09:07.513;NULL;NULL;Y
19;008103;20035;7570.00;972.00;PCS;Dewi;2014-09-05 13:09:07.520;NULL;NULL;Y
20;008104;50515;1.00;4.00;ROLL;Dewi;2014-09-05 13:11:10.900;NULL;NULL;Y
21;008105;51458;3.00;165.00;BAGS;Dewi;2014-09-05 13:12:54.970;NULL;NULL;Y
22;008105;52401;2.00;-12.00;SCHT;Dewi;2014-09-05 13:12:54.977;NULL;NULL;Y
23;008105;51457;10.00;199.00;PCS;Dewi;2014-09-05 13:12:54.980;NULL;NULL;Y
24;008106;10003;300.00;21.00;KGS;Dewi;2014-09-05 13:14:33.950;NULL;NULL;Y
25;008106;10004;200.00;5.00;KGS;Dewi;2014-09-05 13:14:33.957;NULL;NULL;Y
26;008107;50011;5.00;60.00;ROLL;Dewi;2014-09-05 13:16:02.797;NULL;NULL;Y
27;008108;51458;4.00;165.00;BAGS;Dewi;2014-09-05 13:17:43.470;NULL;NULL;Y
28;008108;52401;2.00;-12.00;SCHT;Dewi;2014-09-05 13:17:43.477;NULL;NULL;Y
29;008109;10002;5500.00;57.00;MT;Dewi;2014-09-05 13:19:41.697;NULL;NULL;Y
30;008109;10007;500.00;0.00;MT;Dewi;2014-09-05 13:19:41.700;NULL;NULL;Y
31;008110;51585;1.00;5.00;BTL;Dewi;2014-09-05 13:20:48.083;NULL;NULL;Y
32;008111;20001;8408.00;16.00;PCS;Dewi;2014-09-05 13:21:28.703;NULL;NULL;Y
33;008112;51458;3.00;165.00;BAGS;Dewi;2014-09-05 13:22:02.433;NULL;NULL;Y
34;008112;52401;3.00;-12.00;SCHT;Dewi;2014-09-05 13:22:02.437;NULL;NULL;Y
35;005291;89529;1.00;0.00;PART;Wensi Saranggi;2014-09-05 15:02:41.330;NULL;NULL;Y
36;003795;10023;200.00;920.00;KGS;Anita Walean;2014-09-05 15:54:49.277;NULL;NULL;Y
