id;ts_code;product_code;qty;created_by;created_date;updated_by;updated_date;is_active
1;094378;90077;1.000;Jelita;"2014-09-05 10:11:30.147";NULL;NULL;Y
2;094379;90088;6.000;Jelita;"2014-09-05 10:29:26.783";NULL;NULL;Y
4;094377;99979;1.000;Jelita;"2014-09-05 11:11:28.773";NULL;NULL;Y
5;094377;99978;2.000;Jelita;"2014-09-05 11:11:28.773";NULL;NULL;Y
6;094380;90311;2.000;Jelita;"2014-09-05 11:16:33.837";NULL;NULL;Y
7;094381;93214;1.000;Jelita;"2014-09-05 11:22:49.253";NULL;NULL;Y
8;094381;92108;2.000;Jelita;"2014-09-05 11:22:49.253";NULL;NULL;Y
9;059500;51230;6.000;Jelita;"2014-09-05 11:40:25.363";NULL;NULL;Y
10;059500;50100;6.000;Jelita;"2014-09-05 11:40:25.363";NULL;NULL;Y
11;059500;50095;15.000;Jelita;"2014-09-05 11:40:25.363";NULL;NULL;Y
12;059501;50011;5.000;Jelita;"2014-09-05 17:12:23.010";NULL;NULL;Y
13;059502;51458;3.000;Jelita;"2014-09-05 17:18:02.673";NULL;NULL;Y
14;059509;50534;50.000;"Daniel Watuna";"2014-09-06 11:01:02.603";NULL;NULL;Y
15;059510;51458;4.000;"Daniel Watuna";"2014-09-06 11:04:47.350";NULL;NULL;Y
16;059510;52401;2.000;"Daniel Watuna";"2014-09-06 11:04:47.350";NULL;NULL;Y
17;066471;60522;2.000;"Daniel Watuna";"2014-09-06 11:11:13.957";NULL;NULL;Y
18;066472;70125;20.000;"Daniel Watuna";"2014-09-06 11:12:28.707";NULL;NULL;Y
19;066473;60055;1.000;"Daniel Watuna";"2014-09-06 11:13:15.650";NULL;NULL;Y
20;059518;50291;4.000;Uwen;"2014-09-06 11:44:01.373";NULL;NULL;Y
21;066474;61021;1.000;Uwen;"2014-09-08 09:04:48.610";Uwen;"2016-05-26 11:45:35.017";N
22;066475;60545;1.000;Uwen;"2014-09-08 09:05:50.877";NULL;NULL;Y
23;066476;69949;2.000;Uwen;"2014-09-08 09:06:22.943";NULL;NULL;Y
24;066478;61337;5.000;Uwen;"2014-09-08 09:49:03.867";NULL;NULL;Y
25;066478;60103;1.000;Uwen;"2014-09-08 09:49:03.867";NULL;NULL;Y
26;066479;60788;2.000;Uwen;"2014-09-08 10:14:52.010";Uwen;"2016-05-24 15:05:27.077";N
27;066479;63161;2.000;Uwen;"2014-09-08 10:14:52.010";NULL;NULL;Y
28;066480;60628;9.000;Uwen;"2014-09-08 10:19:57.143";NULL;NULL;Y
29;066480;61055;9.000;Uwen;"2014-09-08 10:19:57.143";Uwen;"2016-09-08 14:56:26.620";N
30;059522;51458;4.000;Uwen;"2014-09-08 10:31:14.347";NULL;NULL;Y
31;059523;50515;1.000;Uwen;"2014-09-08 10:33:38.690";NULL;NULL;Y
32;059523;51458;2.000;Uwen;"2014-09-08 10:33:38.690";NULL;NULL;Y
33;059523;52134;3.000;Uwen;"2014-09-08 10:33:38.690";NULL;NULL;Y
34;059523;52353;3.000;Uwen;"2014-09-08 10:33:38.690";NULL;NULL;Y
35;066481;65330;1.000;Uwen;"2014-09-08 11:11:34.200";NULL;NULL;Y
36;059524;50135;1.000;Uwen;"2014-09-08 11:13:32.940";NULL;NULL;Y
37;059525;51458;3.000;Uwen;"2014-09-08 11:18:02.437";NULL;NULL;Y
38;059525;52401;3.000;Uwen;"2014-09-08 11:18:02.437";NULL;NULL;Y
39;059526;52415;1.000;Uwen;"2014-09-08 11:18:56.647";NULL;NULL;Y
40;059526;51355;3.000;Uwen;"2014-09-08 11:18:56.647";NULL;NULL;Y
41;059527;51504;1.000;Uwen;"2014-09-08 11:21:03.033";NULL;NULL;Y
42;059527;51585;1.000;Uwen;"2014-09-08 11:21:03.033";NULL;NULL;Y
43;094384;99978;2.000;Uwen;"2014-09-08 11:25:56.973";NULL;NULL;Y
44;094385;93654;3.000;Uwen;"2014-09-08 11:31:50.477";NULL;NULL;Y
45;094385;50943;1.000;Uwen;"2014-09-08 11:31:50.477";NULL;NULL;Y
46;094385;90517;4.000;Uwen;"2014-09-08 11:31:50.477";NULL;NULL;Y
47;094385;90510;10.000;Uwen;"2014-09-08 11:31:50.477";NULL;NULL;Y
48;094385;91234;1.000;Uwen;"2014-09-08 11:31:50.477";NULL;NULL;Y
49;066483;65221;1.000;Uwen;"2014-09-08 13:23:30.757";NULL;NULL;Y
50;066484;68111;7.000;Uwen;"2014-09-08 13:30:37.363";NULL;NULL;Y
51;066484;68561;7.000;Uwen;"2014-09-08 13:30:37.363";NULL;NULL;Y
52;066484;64299;7.000;Uwen;"2014-09-08 13:30:37.363";NULL;NULL;Y
53;066484;60776;2.000;Uwen;"2014-09-08 13:30:37.363";NULL;NULL;Y
54;066484;61098;1.000;Uwen;"2014-09-08 13:30:37.363";NULL;NULL;Y
56;066486;60213;2.000;"Rommy Tendean";"2014-09-08 14:01:06.037";NULL;NULL;Y
57;059528;51458;4.000;"Rommy Tendean";"2014-09-08 14:04:58.740";NULL;NULL;Y
58;059528;52401;2.000;"Rommy Tendean";"2014-09-08 14:04:58.740";NULL;NULL;Y
59;059529;50046;2.000;"Rommy Tendean";"2014-09-08 14:16:05.643";NULL;NULL;Y
60;059529;52306;2.000;"Rommy Tendean";"2014-09-08 14:16:05.643";NULL;NULL;Y
61;094386;90840;5.000;"Rommy Tendean";"2014-09-08 14:17:26.997";NULL;NULL;Y
62;066487;60089;5.000;"Rommy Tendean";"2014-09-08 14:19:06.693";NULL;NULL;Y
63;059530;53123;4.000;"Rommy Tendean";"2014-09-08 14:54:45.040";NULL;NULL;Y
64;094387;99978;2.000;"Rommy Tendean";"2014-09-08 14:59:17.483";NULL;NULL;Y
65;094387;99979;2.000;"Rommy Tendean";"2014-09-08 14:59:17.483";NULL;NULL;Y
66;094387;91008;10.000;"Rommy Tendean";"2014-09-08 14:59:17.483";NULL;NULL;Y
67;094387;90025;3.000;"Rommy Tendean";"2014-09-08 14:59:17.483";NULL;NULL;Y
68;094388;99969;1.000;Uwen;"2014-09-08 17:58:46.877";NULL;NULL;Y
69;094388;90596;1.000;Uwen;"2014-09-08 17:58:46.877";NULL;NULL;Y
70;094388;90597;1.000;Uwen;"2014-09-08 17:58:46.877";NULL;NULL;Y
71;094388;90596;1.000;Uwen;"2014-09-08 17:58:46.877";NULL;NULL;Y
72;066488;60139;1.000;Uwen;"2014-09-09 08:14:40.507";NULL;NULL;Y
73;066489;60733;2.000;"Stainly Langkay";"2014-09-09 09:24:33.257";NULL;NULL;Y
74;066490;60064;200.000;"Stainly Langkay";"2014-09-09 09:53:11.883";NULL;NULL;Y
75;066490;62454;2.000;"Stainly Langkay";"2014-09-09 09:53:11.883";NULL;NULL;Y
76;066491;61105;4.000;"Stainly Langkay";"2014-09-09 10:03:11.503";NULL;NULL;Y
77;059531;50217;1.000;"Stainly Langkay";"2014-09-09 10:30:55.917";NULL;NULL;Y
78;059532;52401;2.000;"Stainly Langkay";"2014-09-09 10:41:42.900";NULL;NULL;Y
79;059532;51458;1.000;"Stainly Langkay";"2014-09-09 10:41:42.900";NULL;NULL;Y
80;059532;52353;1.000;"Stainly Langkay";"2014-09-09 10:41:42.900";NULL;NULL;Y
81;059533;90812;2.000;"Stainly Langkay";"2014-09-09 10:43:36.887";NULL;NULL;Y
82;094389;90895;2.000;"Stainly Langkay";"2014-09-09 11:07:22.967";NULL;NULL;Y
83;094390;90081;1.000;"Stainly Langkay";"2014-09-09 11:11:42.477";NULL;NULL;Y
84;094390;90812;1.000;"Stainly Langkay";"2014-09-09 11:11:42.477";NULL;NULL;Y
85;094391;92007;2.000;"Stainly Langkay";"2014-09-09 11:14:28.313";NULL;NULL;Y
86;094392;99842;4.000;"Stainly Langkay";"2014-09-09 13:13:40.633";NULL;NULL;Y
87;066492;63358;1.000;"Stainly Langkay";"2014-09-09 13:32:18.597";Uwen;"2016-05-27 15:45:37.713";N
88;059534;51562;1000.000;"Stainly Langkay";"2014-09-09 13:35:19.530";NULL;NULL;Y
89;066493;70126;20.000;"Stainly Langkay";"2014-09-09 13:38:08.243";NULL;NULL;Y
90;059535;51585;1.000;"Stainly Langkay";"2014-09-09 13:48:41.183";NULL;NULL;Y
91;059536;52401;3.000;"Stainly Langkay";"2014-09-09 13:50:40.960";NULL;NULL;Y
92;059537;51458;3.000;"Stainly Langkay";"2014-09-09 13:52:25.863";NULL;NULL;Y
93;066494;60064;3.000;"Stainly Langkay";"2014-09-09 13:56:52.887";NULL;NULL;Y
94;059538;51458;4.000;"Stainly Langkay";"2014-09-09 14:12:53.590";NULL;NULL;Y
95;059539;51458;4.000;"Stainly Langkay";"2014-09-09 14:15:56.627";NULL;NULL;Y
96;059540;52364;2.000;"Stainly Langkay";"2014-09-09 14:19:07.700";NULL;NULL;Y
97;059540;51313;2.000;"Stainly Langkay";"2014-09-09 14:19:07.700";NULL;NULL;Y
98;059540;52346;2.000;"Stainly Langkay";"2014-09-09 14:19:07.700";NULL;NULL;Y
99;094393;90117;2.000;"Stainly Langkay";"2014-09-09 14:21:04.410";NULL;NULL;Y
100;059513;51458;1.000;Jelita;"2014-09-09 14:38:40.523";NULL;NULL;Y
101;059513;51457;3.000;Jelita;"2014-09-09 14:38:40.523";NULL;NULL;Y
102;059541;52364;1.000;Jelita;"2014-09-09 14:40:21.057";NULL;NULL;Y
103;059541;90117;1.000;Jelita;"2014-09-09 14:40:21.057";NULL;NULL;Y
104;059541;51313;1.000;Jelita;"2014-09-09 14:40:21.057";NULL;NULL;Y
105;059541;52346;1.000;Jelita;"2014-09-09 14:40:21.057";NULL;NULL;Y
106;059542;50046;1.000;Jelita;"2014-09-09 14:54:22.487";NULL;NULL;Y
107;059542;90840;1.000;Jelita;"2014-09-09 14:54:22.487";NULL;NULL;Y
108;059543;52364;1.000;"Stainly Langkay";"2014-09-09 15:57:52.703";NULL;NULL;Y
109;059543;51313;1.000;"Stainly Langkay";"2014-09-09 15:57:52.703";NULL;NULL;Y
