Id;DeptCode;OldDeptCode;DeptName
1;70311;7031;FISH PROCUREMENT
2;70331;NULL;INSIDE-SANITATION
3;70332;7033A;RECEIVING
4;70333;NULL;PRECOOKING
5;70334;7033B;SKINNING
6;70335;7033C;LOINING
7;70336;7033D;PACKING
8;70337;7033G;RETORT
9;70338;7033F;CASE-UP
10;70341;7034;FIXED PRODUCTION
11;70342;7033E;OUTSIDE-SANITATION
12;70361;7036;MARKETING
13;70371;7037;RENDERING
14;70372;7230;TRICANTER
15;70391;7039;LABELING
16;70421;7042;IM
17;70441;7044;QUALITY ASSURANCE
18;70442;NULL;WWT
19;70461;7046;ENGINEERING
20;70481;7048;HUMAN RESOURCES
26;70482;70482;OUTSOURCING SECURITY
21;70501;7050;PURCHASING
22;70521;7052;FINANCE
23;70541;7054;MANAGING DIRECTOR
24;70561;7056;IT
28;70611;7061;COLD STORAGE
25;70631;7063;VIAND TUNA
