id;dr_code;dr_qty;dr_uom;dr_unitcost;product_code;created_by;created_date;updated_by;updated_date;is_active
1;123456;1.00;PART;NULL;92000;Stainly Langkay;2015-03-28 07:42:45.120;NULL;NULL;Y
2;12345;1.00;PCS;NULL;90055;Stainly Langkay;2015-03-28 08:09:19.367;NULL;NULL;Y
3;111;1.00;PCS;NULL;92554;Stainly Langkay;2015-04-27 08:46:26.430;NULL;NULL;Y
4;13180;6.00;PCS;NULL;30001;Ana;2015-11-12 13:38:56.860;Rommy Tendean;2016-04-05 10:54:09.813;Y
5;13180;5.00;PCS;NULL;30003;Ana;2015-11-12 13:38:56.860;NULL;NULL;Y
6;13181;7.00;PCS;NULL;30001;Ana;2015-11-12 13:39:57.853;Rommy Tendean;2016-04-05 10:50:26.903;Y
7;13182;40.00;PCS;NULL;30001;Ana;2015-12-02 13:50:39.760;Ana;2015-12-30 14:05:12.540;N
8;13183;6.00;PCS;NULL;30001;Ana;2015-12-02 14:15:52.090;Ana;2015-12-30 14:05:05.660;N
9;12561;52920.00;SETS;NULL;20050;Wiske;2016-02-22 15:08:01.147;Wiske;2016-02-22 15:22:19.413;N
10;12562;52920.00;SETS;NULL;20050;Wiske;2016-02-22 15:11:16.887;Wiske;2016-02-22 15:22:13.580;N
11;12564;52920.00;SETS;NULL;20050;Wiske;2016-02-22 15:12:27.803;Wiske;2016-02-22 15:22:07.790;N
12;12565;52920.00;SETS;NULL;20050;Wiske;2016-02-22 15:13:21.537;Wiske;2016-02-22 15:22:01.933;N
13;13808;10.00;PCS;NULL;30001;Ana;2016-03-03 14:43:14.320;Ana;2016-04-05 10:38:09.190;Y
14;13812;30.00;PCS;NULL;30161;Ana;2016-03-31 20:18:17.357;NULL;NULL;Y
15;13812;15.00;PCS;NULL;30001;Ana;2016-03-31 20:18:17.357;Rommy Tendean;2016-04-05 10:56:34.500;Y
16;13812;30.00;PCS;NULL;30003;Ana;2016-03-31 20:18:17.357;NULL;NULL;Y
17;13812;25.00;PCS;NULL;32210;Ana;2016-03-31 20:18:17.357;NULL;NULL;Y
18;13813;45.00;PCS;NULL;30206;Ana;2016-03-31 20:20:14.690;NULL;NULL;Y
19;13813;15.00;PCS;NULL;30001;Ana;2016-03-31 20:20:14.690;NULL;NULL;Y
20;13813;15.00;PCS;NULL;30181;Ana;2016-03-31 20:20:14.690;NULL;NULL;Y
21;13814;8.00;PCS;NULL;30001;Ana;2016-04-30 13:07:13.027;NULL;NULL;Y
22;13814;6.00;PCS;NULL;30003;Ana;2016-04-30 13:07:13.027;NULL;NULL;Y
23;13815;6.00;PCS;NULL;30001;Ana;2016-04-30 13:07:49.703;NULL;NULL;Y
24;13816;4.00;PCS;NULL;30001;Ana;2016-05-31 12:06:01.237;Ana;2016-06-07 08:08:58.480;Y
25;13816;15.00;PCS;NULL;30003;Ana;2016-05-31 12:06:01.237;Ana;2016-06-07 08:08:58.480;Y
26;13817;6.00;PCS;NULL;30001;Ana;2016-05-31 12:07:36.183;NULL;NULL;Y
27;13818;15.00;PCS;NULL;30001;Ana;2016-06-30 16:03:20.083;NULL;NULL;Y
28;13818;4.00;PCS;NULL;30003;Ana;2016-06-30 16:03:20.083;NULL;NULL;Y
29;13819;6.00;PCS;NULL;30001;Ana;2016-06-30 16:03:58.047;NULL;NULL;Y
30;13820;5.00;PCS;NULL;30001;Ana;2016-07-30 13:05:48.823;NULL;NULL;Y
31;13820;5.00;PCS;NULL;30161;Ana;2016-07-30 13:05:48.823;Ana;2016-08-03 10:10:39.673;Y
32;13820;5.00;PCS;NULL;30206;Ana;2016-07-30 13:05:48.823;Ana;2016-08-03 10:10:39.673;Y
33;13820;10.00;PCS;NULL;30003;Ana;2016-07-30 13:05:48.823;Ana;2016-08-08 09:42:30.350;Y
34;15401;15.00;PCS;NULL;30001;Wiske;2016-09-30 10:44:12.030;Wiske;2016-10-10 15:07:54.417;Y
35;15401;25.00;PCS;NULL;30003;Wiske;2016-09-30 10:44:12.030;Wiske;2016-10-10 15:07:54.417;Y
36;15402;10.00;PCS;NULL;30001;Wiske;2016-11-02 14:04:38.193;NULL;NULL;Y
37;15405;1207.00;PCS;NULL;32210;Wiske;2016-11-17 14:41:03.670;Wiske;2017-01-13 11:49:37.430;Y
38;15406;23.00;PCS;NULL;30003;Wiske;2016-12-02 12:04:49.693;Wiske;2017-01-13 11:51:42.170;N
39;15407;6.00;PCS;NULL;30001;Wiske;2016-12-30 10:27:35.397;NULL;NULL;Y
40;15407;6.00;PCS;NULL;30003;Wiske;2016-12-30 10:27:35.397;NULL;NULL;Y
41;15218;9640.00;KGS;NULL;10003;Wiske;2017-01-10 09:56:41.477;NULL;NULL;Y
42;15403;10.00;PCS;NULL;30001;Wiske;2017-01-31 15:00:22.360;NULL;NULL;Y
43;15403;10.00;PCS;NULL;30003;Wiske;2017-01-31 15:00:22.360;NULL;NULL;Y
44;15410;10.00;PCS;NULL;30001;Wiske;2017-03-02 11:21:57.770;NULL;NULL;Y
45;15411;15.00;PCS;NULL;30001;Wiske;2017-04-27 13:55:45.260;NULL;NULL;Y
46;15412;85.00;PCS;NULL;30001;Wiske;2017-05-31 17:05:36.820;NULL;NULL;Y
47;15413;75.00;PCS;NULL;30001;Wiske;2017-06-30 15:09:48.150;NULL;NULL;Y
48;15413;50.00;PCS;NULL;30003;Wiske;2017-06-30 15:09:48.150;NULL;NULL;Y
49;15415;15.00;PCS;NULL;30001;Wiske;2017-07-31 17:06:13.370;NULL;NULL;Y
50;15416;5.00;PCS;NULL;30001;Wiske;2017-08-30 15:24:48.437;NULL;NULL;Y
51;15419;20.00;PCS;NULL;30001;Wiske;2017-10-31 19:43:43.217;NULL;NULL;Y
52;15420;8.00;PCS;NULL;30003;Wiske;2017-12-04 13:42:21.770;NULL;NULL;Y
53;15423;16.00;PCS;NULL;30001;Wiske;2018-01-31 17:38:24.007;NULL;NULL;Y
54;15425;30.00;PCS;NULL;31256;Wiske;2018-03-09 13:47:35.073;NULL;NULL;Y
55;15431;15.00;PCS;NULL;30001;Wiske;2018-04-30 17:31:20.783;NULL;NULL;Y
56;15432;8.00;PCS;NULL;30003;Wiske;2018-06-02 14:57:39.030;NULL;NULL;Y
57;15433;18.00;PCS;NULL;30001;Wiske;2018-06-02 15:00:46.750;NULL;NULL;Y
58;15434;20.00;PCS;NULL;30001;Wiske;2018-07-03 13:53:01.633;NULL;NULL;Y
59;15435;14.00;PCS;NULL;31563;Wiske;2018-08-02 15:07:09.130;NULL;NULL;Y
60;15436;17.00;PCS;NULL;30001;Wiske;2018-08-31 10:17:45.107;NULL;NULL;Y
61;15437;2.00;PCS;NULL;30001;Wiske;2018-09-29 13:52:50.307;NULL;NULL;Y
62;15437;12.00;PCS;NULL;30003;Wiske;2018-09-29 13:52:50.307;NULL;NULL;Y
63;15438;28.00;PCS;NULL;30001;Wiske;2019-03-30 12:07:12.600;NULL;NULL;Y
64;15439;10.00;PCS;NULL;30001;Wiske;2019-05-31 16:28:21.900;NULL;NULL;Y
65;15440;10.00;PCS;NULL;31425;Wiske;2019-07-31 16:14:51.317;NULL;NULL;Y
66;15443;15.00;PCS;NULL;30206;Wiske;2019-10-31 17:01:11.967;NULL;NULL;Y
67;17801;30.00;PCS;NULL;30001;Wiske;2020-01-31 10:17:05.513;NULL;NULL;Y
68;17704;4000.00;KGS;NULL;10007;Wiske;2020-01-13 10:58:33.387;NULL;NULL;Y
69;17802;8.00;PCS;NULL;30001;Wiske;2020-02-29 12:38:44.030;NULL;NULL;Y
70;17803;9.00;PCS;NULL;30001;Wiske;2020-03-31 16:44:29.307;NULL;NULL;Y
71;17804;10.00;PCS;NULL;30003;Wiske;2020-04-30 16:45:45.330;NULL;NULL;Y
72;17901;10140.00;KGS;NULL;10002;Wiske;2020-07-30 14:38:30.963;NULL;NULL;Y
73;17805;15.00;PCS;NULL;30003;Wiske;2020-08-31 12:54:18.947;NULL;NULL;Y
74;17902;66.00;KGS;NULL;10140;Wiske;2021-03-25 16:27:17.557;NULL;NULL;Y
75;18331;6000.00;KGS;NULL;10007;Wiske;2021-04-30 09:37:59.523;NULL;NULL;Y
76;17807;22932.00;SETS;NULL;20058;Wiske;2021-04-30 09:42:45.070;NULL;NULL;Y
77;17807;20410.00;SETS;NULL;20059;Wiske;2021-04-30 09:46:33.543;NULL;NULL;Y
78;17808;200.00;PCS;NULL;30745;Wiske;2021-05-03 15:54:43.657;NULL;NULL;Y
79;17904;3120.00;KGS;NULL;10007;Wiske;2021-06-15 12:11:00.740;NULL;NULL;Y
80;17905;135.10;KGS;NULL;10140;Wiske;2021-12-28 16:07:46.183;NULL;NULL;Y
81;17303;53.25;KGS;NULL;10140;Wiske;2021-12-28 16:35:11.840;NULL;NULL;Y
82;18657;3791.00;KGS;NULL;10007;Wiske;2022-01-20 11:08:46.950;NULL;NULL;Y
83;17908;1500.00;KGS;NULL;10004;Wiske;2022-03-09 16:47:56.170;NULL;NULL;Y
84;17809;920.00;LITER;NULL;10856;Wiske;2022-07-19 16:28:54.383;NULL;NULL;Y
85;17910;1920.00;KGS;NULL;10007;Wiske;2022-10-04 11:49:36.283;NULL;NULL;Y
86;17911;7.00;PCS;NULL;30001;Wiske;2022-12-28 13:39:30.187;NULL;NULL;Y
87;17912;7.00;PCS;NULL;30001;Wiske;2023-03-01 16:42:26.723;NULL;NULL;Y
88;17913;28.00;PCS;NULL;30001;Wiske;2023-04-12 15:08:38.437;NULL;NULL;Y
89;17914;15.00;PCS;NULL;30003;Wiske;2023-05-03 11:31:43.920;NULL;NULL;Y
90;17915;15.00;PCS;NULL;30003;Wiske;2023-05-31 18:09:15.910;NULL;NULL;Y
91;17916;18.00;PCS;NULL;30003;Wiske;2023-06-19 17:12:26.570;NULL;NULL;Y
92;19305;5000.00;KGS;28775.00;10007;Wiske;2023-08-21 15:12:10.603;NULL;NULL;Y
93;17919;10.00;PCS;NULL;30003;Wiske;2023-10-31 17:23:37.170;NULL;NULL;Y
94;17920;2.00;PCS;NULL;30001;Wiske;2023-10-31 17:24:33.057;NULL;NULL;Y
95;17921;5.00;PCS;NULL;30001;Wiske;2023-11-21 16:25:40.000;NULL;NULL;Y
96;17923;4.00;PCS;NULL;30003;Wiske;2023-12-29 15:13:42.763;NULL;NULL;Y
97;17925;3.00;PCS;NULL;30001;Wiske;2024-02-29 19:30:29.640;NULL;NULL;Y
98;17926;3.00;PCS;NULL;30003;Wiske;2024-02-29 19:31:42.413;NULL;NULL;Y
99;17928;15.00;PCS;NULL;30001;Wiske;2024-07-02 17:30:20.400;NULL;NULL;Y
100;17929;14800.00;PCS;NULL;RM0007;Wiske;2024-09-30 18:24:39.240;NULL;NULL;Y
101;19327;2000.00;SET;NULL;20001;Jefny Jacobus;2025-07-31 15:51:43.150;NULL;NULL;Y
102;19328;3000.00;SET;NULL;20001;Jefny Jacobus;2025-10-30 16:28:05.037;NULL;NULL;Y
103;20262;5000.00;SET;NULL;20001;Jefny Jacobus;2026-03-12 11:02:59.690;NULL;NULL;Y
