id;po_code;prsnumber;product_code;department_code;sub_total;created_by;created_date;updated_by;updated_date;is_active
1;48188;203211;64160;7048;17500.000000;JEFFRY;2014-07-19 09:56:27.843;NULL;NULL;Y
2;48188;203211;64161;7048;22500.000000;JEFFRY;2014-07-19 09:56:27.843;NULL;NULL;Y
3;48188;203211;61853;7048;37500.000000;JEFFRY;2014-07-19 09:56:27.843;NULL;NULL;Y
4;48188;203211;64163;7048;37500.000000;JEFFRY;2014-07-19 09:56:27.843;NULL;NULL;Y
5;48188;203211;60362;7048;15000.000000;JEFFRY;2014-07-19 09:56:27.843;NULL;NULL;Y
6;48797;203219;62015;7046;710000.000000;JEFFRY;2014-07-19 09:56:27.843;NULL;NULL;Y
7;47857;203222;00574;7048;1229000.000000;ERNI;2014-07-19 09:56:27.843;NULL;NULL;Y
8;47862;203225;01705;7044;1041666.670000;ERNI;2014-07-19 09:56:27.843;NULL;NULL;Y
9;48078;203228;60831;7046;277.000000;JEFFRY;2014-07-19 09:56:27.843;NULL;NULL;Y
10;48078;203228;60830;7046;81.000000;JEFFRY;2014-07-19 09:56:27.843;NULL;NULL;Y
11;48078;203228;60827;7046;42.000000;JEFFRY;2014-07-19 09:56:27.843;NULL;NULL;Y
12;48079;203228;61785;7046;103.000000;JEFFRY;2014-07-19 09:56:27.843;NULL;NULL;Y
13;48079;203228;62305;7046;56.000000;JEFFRY;2014-07-19 09:56:27.843;NULL;NULL;Y
14;48079;203228;62311;7046;111.000000;JEFFRY;2014-07-19 09:56:27.843;NULL;NULL;Y
15;48079;203228;63471;7046;3.000000;JEFFRY;2014-07-19 09:56:27.843;NULL;NULL;Y
16;48186;203231;64181;7048;22500.000000;JEFFRY;2014-07-19 09:56:27.843;NULL;NULL;Y
17;48186;203231;64182;7048;37500.000000;JEFFRY;2014-07-19 09:56:27.843;NULL;NULL;Y
18;48186;203231;64183;7048;22500.000000;JEFFRY;2014-07-19 09:56:27.843;NULL;NULL;Y
19;48186;203231;64184;7048;22500.000000;JEFFRY;2014-07-19 09:56:27.843;NULL;NULL;Y
20;47919;203235;51222;7033;335000.000000;ERNI;2014-07-19 09:56:27.843;NULL;NULL;Y
21;47919;203235;50015;7033;125000.000000;ERNI;2014-07-19 09:56:27.843;NULL;NULL;Y
22;47919;203235;60544;7033;12500.000000;ERNI;2014-07-19 09:56:27.843;NULL;NULL;Y
23;47919;203235;61008;7033;20000.000000;ERNI;2014-07-19 09:56:27.843;NULL;NULL;Y
