id;category_code;category_name;is_active;is_delete;created_by;created_date;updated_by;updated_date;sort
1;OFFICE SUPPLIES;OFFICE SUPPLIES;Y;N;NULL;2014-07-19 10:12:16.390;USER0018;2015-06-16 11:38:23.553;7
2;PARTS;PARTS;Y;N;NULL;2014-07-19 10:12:16.407;NULL;2014-07-19 10:12:16.407;12
3;SL/C;SL/C;Y;N;NULL;2014-07-19 10:12:16.407;NULL;2014-07-19 10:12:16.407;NULL
4;FACTORY SUPPLIES;FACTORY SUPPLIES;Y;N;NULL;2014-07-19 10:12:16.407;NULL;2014-07-19 10:12:16.407;6
5;CHEM;CHEM;Y;N;NULL;2014-07-19 10:12:16.407;NULL;2014-07-19 10:12:16.407;5
6;FUEL;FUEL;Y;N;NULL;2014-07-19 10:12:16.407;NULL;2014-07-19 10:12:16.407;13
8;LABEL;LABEL;Y;N;NULL;2014-07-19 10:12:16.407;NULL;2014-07-19 10:12:16.407;4
9;CARTON;CARTON;Y;N;NULL;2014-07-19 10:12:16.407;USER0002;2015-01-20 16:59:12.340;3
10;INGREDIENTS;INGREDIENTS;N;Y;NULL;2014-07-19 10:12:16.407;USER0010;2015-06-17 18:00:25.893;NULL
12;CAN;CAN;Y;N;NULL;2014-07-19 10:12:16.407;NULL;2014-07-19 10:12:16.407;2
13;SPICES;SPICES;N;Y;NULL;2014-07-19 10:12:16.407;USER0010;2015-06-17 18:00:35.623;NULL
14;OTHERS;OTHERS;Y;N;SYS;2014-07-30 15:05:35.620;NULL;NULL;NULL
15;RAW MATERIALS;RAW MATERIALS;Y;N;USER0039;2014-08-07 13:32:16.003;USER0018;2015-06-03 12:59:56.303;NULL
17;52618;ZEBRA STOCK POT 80x80 CM;N;Y;USER0020;2015-05-15 15:12:45.900;USER0018;2015-06-03 13:00:12.537;NULL
18;SPICES AND INGREDIENTS;SPICES AND INGREDIENTS;Y;N;USER0010;2015-06-17 17:47:32.337;USER0010;2016-08-18 10:23:38.827;8
19;FISH;FISH;Y;N;USER0021;2019-06-28 14:41:04.817;NULL;NULL;9
20;BC;BC;Y;N;NULL;2019-07-18 00:00:00.000;NULL;NULL;1
21;FISHMEAL;FISHMEAL;Y;N;NULL;2019-08-21 00:00:00.000;NULL;NULL;10
22;COAL;COAL;Y;N;NULL;2019-08-21 00:00:00.000;NULL;NULL;NULL
23;SLUDGE OIL;SLUDGE OIL;Y;N;NULL;2019-08-26 00:00:00.000;NULL;NULL;NULL
24;LABELING SUPPLIES;LABELING SUPPLIES;Y;N;USER0021;2019-10-29 10:37:30.407;NULL;NULL;11
25;CAPITAL GOODS;CAPITAL GOODS;Y;N;NULL;2019-11-14 00:00:00.000;NULL;NULL;NULL
26;26;SCRAPS;Y;N;USER0021;2024-10-30 15:46:40.320;NULL;NULL;NULL
27;FINISHED GOODS;FINISHED GOODS;Y;N;SYS;2025-06-01 00:00:00.000;NULL;NULL;14
