id;prsnumber;prsdate;requestdate;deliverydate;poreferensi;remarks;createdby;department_name;is_approved;approved_by;approved_date;created_date;updated_by;updated_date;is_active;created_id
1;203211;2013-01-03 00:00:00.000;2014-07-31 00:00:00.000;NULL;NULL;CONFIRMATORY !!!;SYS;7048;Y;SYS;2014-07-22 05:42:37.753;NULL;NULL;NULL;Y;NULL
2;203212;2013-01-03 00:00:00.000;2014-07-31 00:00:00.000;NULL;NULL;CONFIRMATORY;SYS;7033C;Y;SYS;2014-07-22 05:42:37.753;NULL;NULL;NULL;Y;NULL
3;203213;2013-01-03 00:00:00.000;2014-07-31 00:00:00.000;NULL;NULL;CONFIRMATORY;SYS;7033;Y;SYS;2014-07-22 05:42:37.753;NULL;NULL;NULL;Y;NULL
4;203217;2013-01-03 00:00:00.000;2014-07-31 00:00:00.000;NULL;NULL;;SYS;7033C;Y;SYS;2014-07-22 05:42:37.753;NULL;NULL;NULL;Y;NULL
5;501193;2013-01-03 00:00:00.000;2014-07-31 00:00:00.000;NULL;NULL;;SYS;7042;Y;SYS;2014-07-22 05:42:37.753;NULL;NULL;NULL;Y;NULL
6;600098;2013-01-03 00:00:00.000;2014-07-31 00:00:00.000;NULL;NULL;;SYS;7063;Y;SYS;2014-07-22 05:42:37.753;NULL;NULL;NULL;Y;NULL
7;700349;2013-01-03 00:00:00.000;2014-07-31 00:00:00.000;NULL;NULL;;SYS;7034;Y;SYS;2014-07-22 05:42:37.753;NULL;NULL;NULL;Y;NULL
8;203219;2013-01-04 00:00:00.000;2014-07-31 00:00:00.000;NULL;NULL;CONFIRMATORY;SYS;7046;Y;SYS;2014-07-22 05:42:37.753;NULL;NULL;NULL;Y;NULL
9;203222;2013-01-04 00:00:00.000;2014-07-31 00:00:00.000;NULL;NULL;FOR SERVICE BERKALA 190.000 KM;SYS;7048;Y;SYS;2014-07-22 05:42:37.753;NULL;NULL;NULL;Y;NULL
10;203223;2013-01-04 00:00:00.000;2014-07-31 00:00:00.000;NULL;NULL;;SYS;7048;Y;SYS;2014-07-22 05:42:37.753;NULL;NULL;NULL;Y;NULL
11;203225;2013-01-04 00:00:00.000;2014-07-31 00:00:00.000;NULL;NULL;CONFIRMATORY !!!;SYS;7044;Y;SYS;2014-07-22 05:42:37.753;NULL;NULL;NULL;Y;NULL
12;203226;2013-01-04 00:00:00.000;2014-07-31 00:00:00.000;NULL;NULL;;SYS;7044;Y;SYS;2014-07-22 05:42:37.753;NULL;NULL;NULL;Y;NULL
13;203227;2013-01-04 00:00:00.000;2014-07-31 00:00:00.000;NULL;NULL;;SYS;7033;Y;SYS;2014-07-22 05:42:37.753;NULL;NULL;NULL;Y;NULL
14;203228;2013-01-04 00:00:00.000;2014-07-31 00:00:00.000;NULL;NULL;;SYS;7046;Y;SYS;2014-07-22 05:42:37.753;NULL;NULL;NULL;Y;NULL
15;800252;2013-01-04 00:00:00.000;2014-07-31 00:00:00.000;NULL;NULL;INVOICE : TKR/1212/JK0013;SYS;7042;Y;SYS;2014-07-22 05:42:37.753;NULL;NULL;NULL;Y;NULL
16;203231;2013-01-05 00:00:00.000;2014-07-31 00:00:00.000;NULL;NULL;CONFIRMATORY;SYS;7048;Y;SYS;2014-07-22 05:42:37.753;NULL;NULL;NULL;Y;NULL
17;203232;2013-01-05 00:00:00.000;2014-07-31 00:00:00.000;NULL;NULL;;SYS;7033;Y;SYS;2014-07-22 05:42:37.753;NULL;NULL;NULL;Y;NULL
18;203233;2013-01-05 00:00:00.000;2014-07-31 00:00:00.000;NULL;NULL;CONFIRMATORY;SYS;7033;Y;SYS;2014-07-22 05:42:37.753;NULL;NULL;NULL;Y;NULL
19;203235;2013-01-05 00:00:00.000;2014-07-31 00:00:00.000;NULL;NULL;CONFIRMATORY;SYS;7033;Y;SYS;2014-07-22 05:42:37.753;NULL;NULL;NULL;Y;NULL
20;203236;2013-01-05 00:00:00.000;2014-07-31 00:00:00.000;NULL;NULL;CONFIRMATORY;SYS;7033;Y;SYS;2014-07-22 05:42:37.753;NULL;NULL;NULL;Y;NULL
21;203237;2013-01-05 00:00:00.000;2014-07-31 00:00:00.000;NULL;NULL;;SYS;7037;Y;SYS;2014-07-22 05:42:37.753;NULL;NULL;NULL;Y;NULL
22;203240;2013-01-05 00:00:00.000;2014-07-31 00:00:00.000;NULL;NULL;;SYS;7037;Y;SYS;2014-07-22 05:42:37.753;NULL;NULL;NULL;Y;NULL
23;203242;2013-01-07 00:00:00.000;2014-07-31 00:00:00.000;NULL;NULL;CONFIRMATORY;SYS;7046;Y;SYS;2014-07-22 05:42:37.753;NULL;NULL;NULL;Y;NULL
24;203246;2013-01-08 00:00:00.000;2014-07-31 00:00:00.000;NULL;NULL;;SYS;7046;Y;SYS;2014-07-22 05:42:37.753;NULL;NULL;NULL;Y;NULL
25;203248;2013-01-08 00:00:00.000;2014-07-31 00:00:00.000;NULL;NULL;;SYS;7033;Y;SYS;2014-07-22 05:42:37.753;NULL;NULL;NULL;Y;NULL
