id;rr_code;prs_code;product_code;department_code;qty_g;qty_b;uom;unit_cost;amount;created_by;created_date;updated_by;updated_date;is_active
0;63952;NULL;908;NULL;1.00000;NULL;Lot;NULL;NULL;SYS;2014-08-20 14:42:12.453;NULL;NULL;Y
1;63954;NULL;1606;NULL;1.00000;NULL;Lot;NULL;NULL;SYS;2014-08-20 14:42:12.453;NULL;NULL;Y
2;63955;NULL;921;NULL;2.00000;NULL;Lot;NULL;NULL;SYS;2014-08-20 14:42:12.453;NULL;NULL;Y
3;63965;NULL;1833;NULL;1.00000;NULL;Lot;NULL;NULL;SYS;2014-08-20 14:42:12.453;NULL;NULL;Y
4;63966;NULL;250;NULL;2.00000;NULL;Lot;NULL;NULL;SYS;2014-08-20 14:42:12.453;NULL;NULL;Y
5;63967;NULL;2004;NULL;1.00000;NULL;Lot;NULL;NULL;SYS;2014-08-20 14:42:12.453;NULL;NULL;Y
6;63953;NULL;899;NULL;1.00000;NULL;Lot;NULL;NULL;SYS;2014-08-20 14:42:12.453;NULL;NULL;Y
7;63956;NULL;1937;NULL;1.00000;NULL;Lot;NULL;NULL;SYS;2014-08-20 14:42:12.453;NULL;NULL;Y
8;63957;NULL;1639;NULL;1.00000;NULL;Lot;NULL;NULL;SYS;2014-08-20 14:42:12.453;NULL;NULL;Y
9;63960;NULL;1943;NULL;1.00000;NULL;Lot;NULL;NULL;SYS;2014-08-20 14:42:12.453;NULL;NULL;Y
10;63961;NULL;1938;NULL;1.00000;NULL;Lot;NULL;NULL;SYS;2014-08-20 14:42:12.453;NULL;NULL;Y
11;63962;NULL;1949;NULL;2.00000;NULL;units;NULL;NULL;SYS;2014-08-20 14:42:12.453;NULL;NULL;Y
12;63963;NULL;1622;NULL;18.00000;NULL;pcs;NULL;NULL;SYS;2014-08-20 14:42:12.453;NULL;NULL;Y
13;63969;NULL;1880;NULL;1.00000;NULL;Lot;NULL;NULL;SYS;2014-08-20 14:42:12.453;NULL;NULL;Y
14;63971;NULL;1945;NULL;1.00000;NULL;Lot;NULL;NULL;SYS;2014-08-20 14:42:12.470;NULL;NULL;Y
15;63970;NULL;1834;NULL;2.00000;NULL;units;NULL;NULL;SYS;2014-08-20 14:42:12.470;NULL;NULL;Y
16;63968;NULL;1994;NULL;1.00000;NULL;Lot;NULL;NULL;SYS;2014-08-20 14:42:12.470;NULL;NULL;Y
17;63972;NULL;1925;NULL;1.00000;NULL;Lot;NULL;NULL;SYS;2014-08-20 14:42:12.470;NULL;NULL;Y
18;63977;NULL;1946;NULL;4.00000;NULL;unit;NULL;NULL;SYS;2014-08-20 14:42:12.470;NULL;NULL;Y
19;63973;NULL;1941;NULL;2.00000;NULL;units;NULL;NULL;SYS;2014-08-20 14:42:12.470;NULL;NULL;Y
20;63980;NULL;1772;NULL;1.00000;NULL;Lot;NULL;NULL;SYS;2014-08-20 14:42:12.470;NULL;NULL;Y
21;63998;NULL;2002;NULL;6.00000;NULL;Trips;NULL;NULL;SYS;2014-08-20 14:42:12.470;NULL;NULL;Y
22;63989;NULL;2021;NULL;1.00000;NULL;Lot;NULL;NULL;SYS;2014-08-20 14:42:12.470;NULL;NULL;Y
23;63993;NULL;1991;NULL;1.00000;NULL;set;NULL;NULL;SYS;2014-08-20 14:42:12.470;NULL;NULL;Y
24;63994;NULL;1833;NULL;1.00000;NULL;Lot;NULL;NULL;SYS;2014-08-20 14:42:12.470;NULL;NULL;Y
25;63995;NULL;2031;NULL;1.00000;NULL;Lot;NULL;NULL;SYS;2014-08-20 14:42:12.470;NULL;NULL;Y
26;64097;NULL;1128;NULL;2.00000;NULL;Pcs;NULL;NULL;SYS;2014-08-20 14:42:12.470;NULL;NULL;Y
27;64097;NULL;2027;NULL;2.00000;NULL;Pcs;NULL;NULL;SYS;2014-08-20 14:42:12.470;NULL;NULL;Y
28;64097;NULL;1976;NULL;1.00000;NULL;Pc;NULL;NULL;SYS;2014-08-20 14:42:12.470;NULL;NULL;Y
29;64097;NULL;1977;NULL;1.00000;NULL;Pc;NULL;NULL;SYS;2014-08-20 14:42:12.470;NULL;NULL;Y
30;64339;NULL;1968;NULL;1.00000;NULL;Lot;NULL;NULL;SYS;2014-08-20 14:42:12.470;NULL;NULL;Y
31;64339;NULL;1969;NULL;1.00000;NULL;Lot;NULL;NULL;SYS;2014-08-20 14:42:12.470;NULL;NULL;Y
