id;supplier_code;supplier_name;supplier_address;telephone;fax;email;contact_person;is_active;is_delete;created_by;created_date;updated_by;updated_date;type
1;477;AZKO;MANADO;085340330616;;;NULL;Y;N;SYS;2014-07-21 10:15:52.270;USER0007;2025-02-06 11:27:48.947;NULL
2;427;UD CAHAYA;BITUNG;;;;NULL;Y;N;SYS;2014-07-21 10:15:52.287;USER0008;2015-12-17 11:40:40.207;NULL
3;8;ANEKA ELEKTRO CV.;JL. SAM RATULANGI 21 No.32, -;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.287;NULL;NULL;NULL
4;9;ANEKA GAS INDUSTRI PT.;JL. RAYA MANADO - BITUNG, SAGERAT;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.287;NULL;NULL;NULL
5;604;SUARA ELECTRO BITUNG;BITUNG;;;;NULL;Y;N;SYS;2014-07-21 10:15:52.287;USER0007;2021-08-02 12:13:36.237;NULL
6;573;CV ESA GENANG;BITUNG;085341615541;;esagenang@yahoo.com;NULL;Y;N;SYS;2014-07-21 10:15:52.287;USER0008;2015-12-08 11:58:21.780;NULL
7;346;AREMA TEKNIK;KEL.PATETEN BITUNG;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.287;NULL;NULL;NULL
8;6;ARENA TEKNIK POMPA;SURABAYA;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.287;NULL;NULL;NULL
9;15;ANUGRAH JAYA BOX;DS NGABETAN NO 2 RT001 RW04 CERME GRESIK;031 7994774;7994771;;NULL;Y;N;SYS;2014-07-21 10:15:52.287;USER0008;2016-04-18 15:22:52.607;NULL
10;509;PT HALIM SARANA CAHAYA SE;SURABAYA;0317388322;0317388329;;NULL;Y;N;SYS;2014-07-21 10:15:52.287;USER0008;2015-10-02 16:51:17.593;NULL
11;16;ATLAS COPCO INDONESIA PT.;JL. CILANDAK KKO PO BOX. 7021;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.287;NULL;NULL;NULL
12;577;BADAN PENELITIAN DAN BUDIDAYA;TATELU;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.287;NULL;NULL;NULL
13;19;BENGKEL AEGIS  KO HENGKY;B I T U N G;;;;NULL;Y;N;SYS;2014-07-21 10:15:52.287;USER0007;2024-05-20 15:07:27.923;NULL
14;396;BENGKEL BUANA KARYA;BITUNG;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.287;NULL;NULL;NULL
15;568;BENUA ELECTRONIC SENTRA;MANADO;082190562859;;;NULL;Y;N;SYS;2014-07-21 10:15:52.287;USER0008;2022-01-28 11:19:36.890;NULL
16;13;BERKAT USAHA TRANSPORT CV.;B I T U N G;NULL;NULL;NULL;NULL;Y;N;SYS;2014-07-21 10:15:52.287;NULL;NULL;NULL
