id;uom_code;uom_name;remarks;is_active;is_delete;created_by;created_date;updated_by;updated_date
1;MT;MT;NULL;Y;N;NULL;2014-07-19 10:15:34.267;NULL;2014-07-19 10:15:34.267
2;PCS;PCS;NULL;Y;N;NULL;2014-07-19 10:15:34.267;NULL;2014-07-19 10:15:34.267
3;PAIR;PAIR;NULL;Y;N;NULL;2014-07-19 10:15:34.267;NULL;2014-07-19 10:15:34.267
4;LOT;LOT;NULL;Y;N;NULL;2014-07-19 10:15:34.267;NULL;2014-07-19 10:15:34.267
5;KGS;KGS;NULL;Y;N;NULL;2014-07-19 10:15:34.267;NULL;2014-07-19 10:15:34.267
6;SET;SET;NULL;Y;N;NULL;2014-07-19 10:15:34.267;NULL;2014-07-19 10:15:34.267
7;BOX;BOX;NULL;Y;N;NULL;2014-07-19 10:15:34.267;NULL;2014-07-19 10:15:34.267
8;UNIT;UNIT;NULL;Y;N;NULL;2014-07-19 10:15:34.267;NULL;2014-07-19 10:15:34.267
9;TIN;TIN;NULL;Y;N;NULL;2014-07-19 10:15:34.267;NULL;2014-07-19 10:15:34.267
10;BTL;BTL;NULL;Y;N;NULL;2014-07-19 10:15:34.267;NULL;2014-07-19 10:15:34.267
11;PC;PC;NULL;Y;N;NULL;2014-07-19 10:15:34.267;NULL;2014-07-19 10:15:34.267
12;ROLL;ROLL;NULL;Y;N;NULL;2014-07-19 10:15:34.267;NULL;2014-07-19 10:15:34.267
13;PACK;PACK;NULL;Y;N;NULL;2014-07-19 10:15:34.267;NULL;2014-07-19 10:15:34.267
14;LE;LE;NULL;Y;N;NULL;2014-07-19 10:15:34.267;NULL;2014-07-19 10:15:34.267
15;SHEET;SHEET;NULL;Y;N;NULL;2014-07-19 10:15:34.267;NULL;2014-07-19 10:15:34.267
16;m3;m3;NULL;Y;N;NULL;2014-07-19 10:15:34.267;NULL;2014-07-19 10:15:34.267
17;0;0;NULL;Y;N;NULL;2014-07-19 10:15:34.267;NULL;2014-07-19 10:15:34.267
18;MTR;MTR;NULL;Y;N;NULL;2014-07-19 10:15:34.267;NULL;2014-07-19 10:15:34.267
19;GLN;GLN;NULL;Y;N;NULL;2014-07-19 10:15:34.267;NULL;2014-07-19 10:15:34.267
20;TUBE;TUBE;NULL;Y;N;NULL;2014-07-19 10:15:34.267;NULL;2014-07-19 10:15:34.267
21;SACK;SACK;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
22;LTR;LTR;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
23;LGTS;LGTS;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
24;DOS;DOS;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
25;PAILS;PAILS;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
26;GRAMS;GRAMS;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
27;LUSIN;LUSIN;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
28;TBG;TBG;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
29;ROLLS;ROLLS;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
30;SCHT;SCHT;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
31;MTRS;MTRS;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
32;TRUCK;TRUCK;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
33;DOSS;DOSS;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
34;SETS;SETS;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
35;TINS;TINS;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
36;BOXES;BOXES;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
37;PART;PART;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
38;PADS;PADS;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
39;REAMS;REAMS;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
40;KALENG;KALENG;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
41;SHTS;SHTS;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
42;SHEETS;SHEETS;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
43;BAGS;BAGS;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
44;UJUNG;UJUNG;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
45;LEMBAR;LEMBAR;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
46;UNITS;UNITS;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
47;PAIRS;PAIRS;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
48;CYL;CYL;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
49;QUART;QUART;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
50;M2;M2;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
51;TUBES;TUBES;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
52;truk;truk;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
53;TRIP;TRIP;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
54;METERS;METERS;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
55;TBNG;TBNG;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
56;DRUM;DRUM;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
57;TIMES;TIMES;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
58;BTG;BTG;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
59;BUNDLES;BUNDLES;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
60;HOUR;HOUR;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
61;Ea;Ea;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
62;RIM;RIM;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
63;MB;MB;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
64;CASE;CASE;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
65;SACKS;SACKS;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
66;CM;CM;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
67;POTS;POTS;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
68;LITER;LITER;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
69;POHON;POHON;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
70;PACKS;PACKS;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
71;METER;METER;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
72;SHETS;SHETS;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
73;STRIP;STRIP;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
74;PAIL;PAIL;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
75;OCS;OCS;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
76;GB;GB;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
77;MBPS;MBPS;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
78;LITERS;LITERS;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
79;KLG;KLG;NULL;Y;N;NULL;2014-07-19 10:15:34.283;NULL;2014-07-19 10:15:34.283
