PT. SINAR PURE FOODS INTERNATIONAL;;;;;;;;;;
Purchase Requisition Slip (PRS) Not Yet Purchase Order (PO);;;;;;;;;;
As Of February 11, 2026;;;;;;;;;;
;;;;;;;;;;
Canvasser Name: Erni Ending;;;;;;;;;;
Purchase Requisition Slip;;;Item;;;;;Department;;
ID;Number;Date;Code;Description;Stock on Hand;Quantity;Unit;Code;Name;
3002;205275;06-03-2014;65253;SPRING FOR KARCHER MATRL S/S ( SAMPLE );0,00;10,00;;7032;Fixed Fish Procurement;
3003;205275;06-03-2014;65256;COLLAR FOR KARCHER MATRL S/S ( SAMPLE );0,00;10,00;;7032;Fixed Fish Procurement;
3372;205670;10-06-2014;65648;AIR FILLTER 1 NPT;0,00;1,00;;7033;Variable Production;
3373;205671;10-06-2014;65654;S/S PRESSURE REGULATING VALVE ( PRV ) 0 - 3000 PSI;0,00;2,00;;7033;Variable Production;
3383;205674;10-06-2014;63269;ELECTRICAL TAPE 3M;0,00;2,00;;7033;Variable Production;
3506;502621;02-07-2014;30219;CARTON PRINTING 04 365 BRAND SCO 307;0,00;6.800,00;;7042;Inventory Management;
3671;205821;14-07-2014;60522;CUTTING WHEEL (RESIBON BRAND) 4;0,00;50,00;;7042;Inventory Management;
3693;400507;15-07-2014;52508;PROFIL TANK 1100 LTR;0,00;1,00;;7048;Human Resources Development;
3694;400507;15-07-2014;50135;PLASTIC BROOM / SAPU PLASTIC;0,00;2,00;PCS;7048;Human Resources Development;
3731;70440001732;21-07-2014;50043;MASKER HIDUNG GOOD QUALITY;0,00;100,00;DOS;7044;Quality Assurance;
3733;70440001732;21-07-2014;50880;HAND GLOVE COTTON (KATUN);0,00;2,00;PAIRS;7044;Quality Assurance;
3735;70440001732;21-07-2014;91074;PINSET;0,00;5,00;PCS;7044;Quality Assurance;
3736;70440001732;21-07-2014;93214;TISSUE HALUS BIG REFIL;0,00;2,00;;7044;Quality Assurance;
3737;70440001732;21-07-2014;52401;SUNLIGHT @ 800 ML;0,00;1,00;SCHT;7044;Quality Assurance;
3738;70440001732;21-07-2014;52452;SCRUB BUDS;0,00;6,00;;7044;Quality Assurance;
3740;70440001733;21-07-2014;91073;BEAKER 1000 ml PYREX;0,00;2,00;PCS;7044;Quality Assurance;
3722;70460001727;21-07-2014;69429;PASIR COR (SAND);0,00;4,00;;7046;Engineering;
3864;70480001787;25-07-2014;99991;Kemeja Wanita Putih Biru;0,00;39,00;;7048;Human Resources Development;
3865;70480001787;25-07-2014;99992;Kemeja Wanita Putih Merah;0,00;39,00;;7048;Human Resources Development;
3896;70520001801;04-08-2014;64621;HANDLE KEY DOOR 2 SLAG MERK SES;0,00;1,00;;7052;Finance;
3917;70420001815;05-08-2014;52014;SIKAT TANGAN (SIKAT BAJU);0,00;100,00;PCS;7042;Inventory Management;
3929;70460001822;06-08-2014;65823;SS hollo 4 cm X 6 m X 1.2 mm (square tube);0,00;4,00;;7046;Engineering;
3930;70460001822;06-08-2014;65824;SS hollo 2 cm X 6 m X 1.2 mm (square tube);0,00;6,00;;7046;Engineering;
3931;70460001822;06-08-2014;61271;WELDING ROD SS 2.6MM;0,00;3,00;KGS;7046;Engineering;
3932;70460001822;06-08-2014;61356;EXPANSION BOLT 8 MM X 2;0,00;28,00;;7046;Engineering;
3933;70460001822;06-08-2014;60733;CUTTING WHEEL 14 (RESIBON BRAND);0,00;1,00;PCS;7046;Engineering;
3934;70460001822;06-08-2014;60213;GRINDING WHEEL 4;0,00;2,00;;7046;Engineering;
3935;70460001822;06-08-2014;63648;ENGSEL PINTU S/S 2 X 5;0,00;2,00;;7046;Engineering;
3943;70420001829;07-08-2014;99926;GEMBOK TOP SECURITY SOLID 70mm;0,00;4,00;PC;7042;Inventory Management;
3974;70460001841;08-08-2014;02147;SLC for repair of  top cover fiber glass (3 units) of brine fiish well ;0,00;1,00;LOT;7046;Engineering;
3983;70320001845;11-08-2014;90706;GUNTING;0,00;1,00;PCS;7032;Fixed Fish Procurement;
4018;70460001870;11-08-2014;60064;CEMENT TONASA @50KG/BOX;0,00;10,00;;7046;Engineering;
4019;70460001870;11-08-2014;69428;PASIR PLESTER (SAND);0,00;8,00;;7046;Engineering;
4020;70460001870;11-08-2014;16747;Batu Alam;0,00;2,00;M2;7046;Engineering;
4021;70460001870;11-08-2014;60085;PIPE PVC 1/2 (AW);0,00;2,00;LE;7046;Engineering;
4022;70460001870;11-08-2014;69740;ELBOW PVC 1/2;0,00;12,00;PCS;7046;Engineering;
4023;70460001870;11-08-2014;16748;PVC Sok drat dalam, 1/2 inch diameter;0,00;4,00;;7046;Engineering;
